url,common,preferred,brand,inn,pubchem,who_atc,cas,originator,stereochemistry,formula,mw,investigational,us_market,us_market_year,us_prev_market,first_year_approval,fda_links,target_list,condition_list,patent_list,pubmed,pmid,mesh,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,id
81669-57-0,https://drugs.ncats.io/drug/5O8V541HJ6,"['APSAC', 'ANISTREPLASE [INN]', 'ANISTREPLASE [MI]', 'ANISTREPLASE [USAN]', 'ANISTREPLASE [WHO-DD]', 'ANISTREPLASE [VANDF]']",ANISTREPLASE,[],6104.0,nan,B01AD03,,,,,0,0,,1,1989.0,[],[],[],[],[],[],D016255,ANISTREPLASE,https://pubchem.ncbi.nlm.nih.gov/substance/7978711,RELEVANT,,,SUBSTANCE,
82030-87-3,https://drugs.ncats.io/drug/CU8D464EDW,"['PROTROPIN (GENENTECH)', 'SOMATOTROPIN (HUMAN), N-L-METHIONYL-', 'SOMATREM [JAN]', 'SOMATOTROPIN METHIONYL HUMAN GROWTH HORMONE [MI]', 'SOMATREM [WHO-DD]', 'SOMATREM [USAN]', 'SOMATREM [VANDF]', 'SOMATREM [MART.]', 'SOMATREM [ORANGE BOOK]', 'SOMATREM [INN]', 'N-L-METHIONYLGROWTH HORMONE (HUMAN)', 'SOMATOTROPIN METHIONYL HUMAN GROWTH HORMONE']",SOMATREM,['PROTROPIN'],5528.0,nan,H01AC02,,,,,0,0,,1,1985.0,[],[],[],[],[],[],,SOMATREM,https://pubchem.ncbi.nlm.nih.gov/substance/7980637,RELEVANT,,,SUBSTANCE,
9001-09-6,https://drugs.ncats.io/drug/1UK146T40N,"['CHYMOPAPAIN [ORANGE BOOK]', 'CHYMOPAPAIN [USAN]', 'CHYMOPAPAIN [MART.]', 'CHYMOPAPAIN [INN]', 'CHYMOPAPAIN [WHO-DD]', 'CHYMOPAPAIN [MI]', 'CHYMOPAPAIN [JAN]', 'CHYMOPAPAIN [VANDF]']",CHYMOPAPAIN,"['CHYMODIACTIN', 'DISCASE']",3132.0,nan,M09AB01,,,,,0,0,,1,1982.0,[],[],[],[],[],[],D002917,CHYMOPAPAIN,https://pubchem.ncbi.nlm.nih.gov/compound/Chymopapain,FEATURED,"9001-09-6, 2593837",,COMPOUND,
9004-09-5,https://drugs.ncats.io/drug/A4028U842W,"['FIBRINOLYSIN', 'FIBRINOLYSIN [ORANGE BOOK]', 'FIBRINOLYSIN, HUMAN', 'PLASMIN BOVINE', 'FIBRINOLYSIN [VANDF]', 'PLASMIN (BOS TAURUS)', 'FIBRINOLYSIN (HUMAN) [INN]', 'FIBRINOLYSIN [MART.]', 'FIBRINOLYSIN [WHO-DD]', 'PLASMIN (BOVINE)']",FIBRINOLYSIN,[],959.0,nan,B06AA02,,,,,0,0,,1,1959.0,[],[],[],[],[],[],D005341,FIBRINOLYSIN,https://pubchem.ncbi.nlm.nih.gov/substance/481101633,RELEVANT,,,SUBSTANCE,
9073-60-3,https://drugs.ncats.io/drug/CS8NMQ5AOE,"['BETA-LACTAMASE 1', 'PENICILLINASE [MI]', 'PENICILLINASE [INN]']",PENICILLINASE,['NEUTRAPEN'],905.0,nan,,,,,,0,0,,1,1958.0,[],[],[],[],[],[],D010405,PENICILLINASE,https://pubchem.ncbi.nlm.nih.gov/substance/381121450,RELEVANT,9073-60-3,9001-74-5,SUBSTANCE,
9003-98-9,https://drugs.ncats.io/drug/0BE71HM000,"['DEOXYRIBONUCLEASE I BOVINE', 'BOVINE PANCREATIC DEOXYRIBONUCLEASE', 'PANCREATIC DORNASE', 'DEOXYRIBONUCLEASE, BOVINE [WHO-DD]', 'DEOXYRIBONUCLEASE, BOVINE', 'DEOXYRIBONUCLEASE I [MI]', 'BOVINE PANCREATIC DEOXYRIBONUCLEASE [MI]']",DEOXYRIBONUCLEASE I BOVINE,"['DORNAVAC', 'DEANASE', 'DINASE']",,nan,,,,,,0,0,,1,1957.0,[],[],[],[],[],[],,DEOXYRIBONUCLEASE I BOVINE,https://pubchem.ncbi.nlm.nih.gov/substance/347910461,RELEVANT,,,SUBSTANCE,
9004-07-3,https://drugs.ncats.io/drug/BVS505O332,"['CHYMOTRYPSIN [USP]', 'CHYMOTRYPSIN [MART.]', 'CHYMOTRYPSIN [GREEN BOOK]', 'CHYMOTRYPSIN [WHO-DD]', 'CHYMOTRYPSIN [INCI]', 'CHYMOTRYPSIN [HSDB]', 'CHYMOTRYPSIN [INN]', 'CHYMOTRYPSIN [EP]', '.ALPHA.-CHYMOTRYPSIN', 'CHYMOTRYPSIN [VANDF]', 'CHYMOTRYPSIN [USP-RS]', '.ALPHA.-CHYMOTRYPSIN [MI]', 'CHYMOTRYPSIN [ORANGE BOOK]', 'CHYMOTRYPSIN [JAN]']",CHYMOTRYPSIN,"['CATARASE', 'ALPHA CHYMAR', 'ZOLYSE']",943.0,nan,S01KX01,,,,,0,0,,1,1955.0,[],[],[],[],[],[],D002918,CHYMOTRYPSIN,https://pubchem.ncbi.nlm.nih.gov/compound/Chymotrypsin,FEATURED,9004-07-3,"8049-46-5, 9025-29-0, 9062-30-0, 9067-81-6",COMPOUND,
9002-71-5,https://drugs.ncats.io/drug/02KSI6Z9AK,"['THYROTROPIN', 'THYROTROPHIN (PITUITARY TSH), BOVINE', 'THYROTROPIN [ORANGE BOOK]', 'THYROTROPHIN [INN]', 'THYROTROPIN (BOVINE)', 'THYROTROPHIN [WHO-DD]', 'THYROTROPIN [MI]', 'TSH']",THYROTROPIN,['THYTROPAR'],679.0,nan,V04CJ01,,,,,0,0,,1,1953.0,[],[],[],[],[],[],D013972,THYROTROPIN,https://pubchem.ncbi.nlm.nih.gov/compound/Thyrotropin,FEATURED,9002-71-5,,COMPOUND,
9010-34-8,https://drugs.ncats.io/drug/NN2P9VPL7M,"['THYROGLOBULIN [ORANGE BOOK]', 'THYROGLOBULIN [VANDF]', 'THYROGLOBULIN [USAN]', 'THYROGLOBULIN [WHO-DD]', 'THYROGLOBULIN [INN]', 'THYROGLOBULIN [MART.]', 'THYROGLOBULIN [HSDB]']",THYROGLOBULIN,['PROLOID'],2203.0,nan,,,,,,0,0,,1,1940.0,[],[],[],[],[],[],D013954,THYROGLOBULIN,https://pubchem.ncbi.nlm.nih.gov/compound/168266382,RELEVANT,9010-34-8,,COMPOUND,
9001-75-6,https://drugs.ncats.io/drug/GID333S43J,"['PEPSIN [MI]', 'PEPSINUM [HPUS]', 'SACCHARATED PEPSIN [JAN]', 'PEPSINUM', 'PEPSIN FOR ASSAY', 'PEPSIN FROM PORCINE GASTRIC MUCOSA', 'PEPSIN PORCINE', 'PEPSIN [VANDF]', 'PEPSIN FOR ASSAY [USP-RS]', 'PEPSIN [INCI]', 'PEPSIN [WHO-DD]']",PEPSIN,[],,nan,A09AC01,,,,,0,0,,1,1921.0,[],[],[],[],[],[],D010434,PEPSIN,https://pubchem.ncbi.nlm.nih.gov/compound/727,FEATURED,"319-85-7, 608-73-1, 319-84-6, 58-89-9, 6108-10-7, 6108-11-8, 6108-12-9, 6108-13-0, 27154-44-5, 9001-75-6, 119911-69-2","25897-48-7, 53529-37-6, 55963-79-6, 8007-42-9, 8073-23-2, 39284-22-5, 20437-97-2, 60291-32-9",COMPOUND,
9001-98-3,https://drugs.ncats.io/drug/VT6PI051PW,"['RENNIN', 'RENNIN [WHO-DD]', 'RENNASE', 'RENNIN FROM CALF STOMACH', 'RENNIN [HSDB]', 'RENNIN (BOS TAURUS)', 'CHYMOSIN [WHO-DD]', 'ABOMASAL ENZYME', 'CHYMASE, BOVINE', 'CHYMOSIN', 'RENNIN [MI]']",RENNIN,[],,nan,,,,,,0,0,,1,1921.0,[],[],[],[],[],[],D012085,RENNIN,https://pubchem.ncbi.nlm.nih.gov/compound/692,RELEVANT,9001-98-3,,COMPOUND,
9000-90-2,https://drugs.ncats.io/drug/I909J9CFAT,"['LIPROTAMASE AMYLASE', 'E-1100(I)', 'ALPHA-AMYLASE A TYPE 1-2', 'E 1100(I)', '1,4-.ALPHA.-D-GLUCAN GLUCANOHYDROLASE', 'ALPHA-AMYLASE FROM ASPERGILLUS ORYZAE VAR.', 'AMYLASE [MART.]', 'BIOAMYLASE BAA', '1,4-ALPHA-D-GLUCAN GLUCANOHYDROLASE (EC 3.2.1.1)', 'GLYCOGENASE', '1,4-.ALPHA.-D-GLUCANASE', 'INS NO.1100(I)', 'ALPHA-AMYLASE A TYPE-1/2', 'ALPHA-AMYLASE, ASPERGILLUS ORYZAE', 'TAKA-AMYLASE A', 'PTYALIN', 'INS-1100(I)', 'ALPHA-AMYLASE (ASPERGILLUS ORYZAE)', '.ALPHA.-AMYLASE (ASPERGILLUS ORYZAE)', 'AMYLASE A', '.ALPHA.-AMYLASE (BACTERIAL) [MI]']",LIPROTAMASE AMYLASE,"['FUNGAMYL SUPER BR', 'TERMAMYL CLASSIC', 'ZIMADZHUNT HT 340C', 'BREWERS AMYLIQ TS']",,nan,,,,,,0,0,,1,1921.0,[],[],[],[],[],[],,LIPROTAMASE AMYLASE,https://pubchem.ncbi.nlm.nih.gov/substance/472398828,RELEVANT,9001-19-8,9000-85-5; 152923-47-2; 152923-48-3; 152923-49-4,SUBSTANCE,
152923-48-3,https://drugs.ncats.io/drug/YOJ58O116E,"['PANCRELIPASE AMYLASE', '.ALPHA.-AMYLASE (PORCINE)', 'ALPHA-AMYLASE SWINE PANCREAS [WHO-DD]', 'AMYLASE, PANCREATIC', 'ALPHA-AMYLASE SWINE PANCREAS', 'PORCINE PANCREAS .ALPHA.-AMYLASE', '.ALPHA.-AMYLASE (PORCINE) [MI]']",PANCRELIPASE AMYLASE,[],,nan,,,,,,0,0,,0,1961.0,[],[],[],[],[],[],,PANCRELIPASE AMYLASE,https://pubchem.ncbi.nlm.nih.gov/substance/483928977,RELEVANT,,,SUBSTANCE,
308079-75-6,https://drugs.ncats.io/drug/IRH51QN26H,['CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)'],CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED),[],,nan,J07AF01,,,,,0,0,,0,1970.0,[],[],[],[],[],[],,CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED),https://pubchem.ncbi.nlm.nih.gov/substance/483928680,RELEVANT,,,SUBSTANCE,
1422959-91-8,https://drugs.ncats.io/drug/033072U4MZ,"['GOLODIRSEN [INN]', 'GOLODIRSEN [USAN]']",GOLODIRSEN,[],10355.0,nan,,,,,,0,1,['2019'],0,2019.0,['NDA211970'],[],[],[],[],[],,GOLODIRSEN,https://pubchem.ncbi.nlm.nih.gov/compound/Golodirsen,FEATURED,1422959-91-8,,COMPOUND,
144245-52-3,https://drugs.ncats.io/drug/QX5LK7YCHV,"['FOMIVIRSEN [WHO-DD]', 'FOMIVIRSEN [MI]', 'FOMIVIRSEN [VANDF]', 'FOMIVIRSEN [INN]']",FOMIVIRSEN,[],7509.0,nan,S01AD08,,,,,0,0,,1,1998.0,[],[],[],[],[],[],C091346,FOMIVIRSEN,https://pubchem.ncbi.nlm.nih.gov/compound/71587550,RELEVANT,,,COMPOUND,
1260643-52-4,https://drugs.ncats.io/drug/1FQ2RY5YHH,"['CROSS-LINKED POLYMER OF 2-FLUOROPROP-2-ENOATE WITH DIETHENYLBENZENE AND OCTA-1,7-DIENE', 'PATIROMER [USAN]', '2-PROPENOIC ACID, 2-FLUORO-, POLYMER WITH DIETHENYLBENZENE AND 1,7-OCTADIENE', 'PATIROMER [WHO-DD]']",PATIROMER,[],,nan,,,,,,0,1,['2015'],0,2015.0,['NDA205739'],[],[],[],[],[],,PATIROMER,https://pubchem.ncbi.nlm.nih.gov/compound/Patiromer,FEATURED,1260643-52-4,,COMPOUND,
1262984-82-6,https://drugs.ncats.io/drug/8IHI69PQTC,"['TECHNETIUM TC-99M TILMANOCEPT', 'TECHNETIUM TC 99M TILMANOCEPT [USAN]', 'TECHNETIUM TC 99M TILMANOCEPT [MI]', 'TECHNETIUM TC 99M TILMANOCEPT [WHO-DD]', 'TECHNETIUM TC-99M TILMANOCEPT [ORANGE BOOK]']",TECHNETIUM TC-99M TILMANOCEPT,['LYMPHOSEEK'],,nan,V09IA09,Navidea Biopharms,,,,0,1,['2013'],0,2013.0,['NDA202207'],['Macrophage mannose receptor 1'],"['Carcinoma, Squamous Cell', 'Breast Neoplasms', 'Melanoma']",[],"['https://www.ncbi.nlm.nih.gov/pubmed/23054107', 'https://www.ncbi.nlm.nih.gov/pubmed/24051744', 'https://www.ncbi.nlm.nih.gov/pubmed/25028560', 'https://www.ncbi.nlm.nih.gov/pubmed/24816087', 'https://www.ncbi.nlm.nih.gov/pubmed/25069859']","['23054107', '24051744', '25028560', '24816087', '25069859']",,TECHNETIUM TC-99M TILMANOCEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Technetium%20Tc-99m%20tilmanocept,FEATURED,"746637-33-2, 1262984-82-6",,COMPOUND,
25322-68-3,https://drugs.ncats.io/drug/G2M7P15E5P,"['POLYETHYLENE GLYCOL 3350', 'MACROGOL 3350', 'POLYETHYLENE GLYCOL 3400', 'POLYETHYLENE GLYCOL 3350 COMPONENT OF HALFLYTELY', 'PEG-75 [VANDF]', 'POLYETHYLENE GLYCOL 3350 [II]', 'PEG-3350 [VANDF]', 'POLYETHYLENE GLYCOL 75', 'PEG 3350', 'PEG-75 [INCI]', 'POLYETHYLENE GLYCOL [MI]', 'UPIWAX 3350', 'MACROGOL 3350 [WHO-DD]', 'POLYETHYLENE GLYCOL 75 [VANDF]', 'HALFLYTELY COMPONENT POLYETHYLENE GLYCOL 3350', 'PEG-3350', 'POLYETHYLENE GLYCOL 3350 [VANDF]', 'PEG-70', 'POLYETHYLENE GLYCOL 3350 [ORANGE BOOK]', 'CARBOWAX PEG 3350']",POLYETHYLENE GLYCOL 3350,"['LIPOXOL 3350 MED', 'LIPO POLYGLYCOL 3350', 'POLYGLYKOL 3350', 'LUMULSE PEG 3350', 'MIRALAX', 'PROTACHEM 75', 'CARBOWAX 3350']",,nan,A06AD15,,,,,0,1,['2013'],0,1984.0,"['ANDA079214', 'NDA019011']",[],[],[],[],[],,POLYETHYLENE GLYCOL 3350,https://pubchem.ncbi.nlm.nih.gov/compound/Polyethylene%20Glycol%203350,FEATURED,25322-68-3,"1011711-38-8, 101677-86-5, 1033001-32-9, 1035554-64-3, 106186-24-7, 107502-63-6, 107529-96-4, 109550-27-8, 112384-37-9, 112895-21-3, 113041-64-8, 114323-93-2, 1152430-37-9, 116549-90-7, 1186292-40-9, 1186292-41-0, 119219-06-6, 1204298-97-4, 1221382-78-0, 1221382-83-7, 1221889-65-1, 1246265-64-4, 125223-68-9, 1256377-90-8, 1267533-36-7, 12676-74-3, 12770-93-3, 1287768-38-0, 1293291-01-6, 1319730-68-1, 1330618-78-4, 133573-31-6, 1338951-32-8, 134919-43-0, 1373256-89-3, 1377964-82-3, 1422717-42-7, 1429745-88-9, 1434253-80-1, 1435263-27-6, 1446681-77-1, 1474108-09-2, 150872-82-5, 154394-38-4, 156948-19-5, 1613520-06-1, 1620693-21-1, 1628723-15-8, 1636129-20-8, 169046-53-1, 1696472-65-7, 1710469-72-9, 174460-08-3, 174460-09-4, 1800416-42-5, 1809027-71-1, 1852508-98-5, 1873338-22-7, 188364-77-4, 188924-03-0, 189154-62-9, 191743-71-2, 1927875-70-4, 196696-84-1, 201163-43-1, 2015216-86-9, 206357-86-0, 2088235-52-1, 2092889-80-8, 2122851-44-7, 2170314-63-1, 221638-71-7, 225502-44-3, 2394768-82-0, 2409576-55-0, 2417963-12-1, 25104-58-9, 25609-81-8, 270910-26-4, 307928-07-0, 34802-42-1, 356055-70-4, 37361-15-2, 391229-98-4, 402483-26-5, 411207-22-2, 497171-83-2, 50809-04-6, 50809-59-1, 51312-32-4, 54510-95-1, 54847-64-2, 59763-40-5, 60894-12-4, 615575-04-7, 61840-14-0, 64441-68-5, 64640-28-4, 67411-64-7, 6790-09-6, 70926-57-7, 75285-02-8, 75285-03-9, 77986-38-0, 79964-26-4, 80341-53-3, 8038-37-7, 85399-22-0, 857367-46-5, 859315-72-3, 85945-29-5, 863328-36-3, 876655-84-4, 88077-80-9, 886469-28-9, 88747-22-2, 9002-90-8, 90597-70-9, 9081-95-2, 9085-02-3, 9085-03-4, 952682-62-1, 956217-69-9, 959127-49-2, 99264-61-6, 99333-89-8",COMPOUND,
9002-23-7,https://drugs.ncats.io/drug/70KO0R01RY,"['POLYSTYRENE SULFONIC ACID', 'POLYSTYRENE SULFONATE', 'POLYSTYRENE SULPHONATE', 'POLISTIREX ACID']",POLYSTYRENE SULFONIC ACID,[],,nan,V03AE01,,,,,0,1,['2014'],0,1958.0,['ANDA204071'],[],[],[],[],[],C003321,POLYSTYRENE SULFONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/Polystyrene%20sulfonic%20acid,FEATURED,9002-23-7,9002-20-4,COMPOUND,
337376-15-5,https://drugs.ncats.io/drug/2NX48Z0A9G,"['ICODEXTRIN [WHO-DD]', 'DEXTRIN [WHO-DD]', 'ICODEXTRIN [VANDF]', 'ICODEXTRIN [JAN]', 'A COMPLEX POLYGLUCOPYRANOSE PRODUCED BY THE ENZYMATIC HYDROLYSIS OF CORN. IT IS PRIMARILY COMPOSED OF .ALPHA.-1,4-GLUCOPYRANOSE LINKAGE WITH LESS THAT 10 PERCENT .ALPHA.-1,6 LINKAGE', 'ICODEXTRIN [MART.]', 'DEXTRIN (20000 MW)', 'ICODEXTRIN [USAN]', 'DEXTRIN [INCI]', 'DEXTRIN [VANDF]', 'ICODEXTRIN [HSDB]', 'DEXTRIN [II]', 'ICODEXTRIN [INN]', 'ICODEXTRIN [ORANGE BOOK]']",ICODEXTRIN,['EXTRANEAL'],7048.0,nan,,,,,,0,1,['2002'],0,1921.0,['NDA021321'],[],['End-Stage Renal Disease'],[],[],[],C105834,ICODEXTRIN,https://pubchem.ncbi.nlm.nih.gov/compound/Icodextrin,FEATURED,337376-15-5,,COMPOUND,
9004-65-3,https://drugs.ncats.io/drug/Z78RG6M2N2,"['HYPROMELLOSE 2208 (15000 MPA.S)', 'HPMC 2208 (15000 CPS)', 'METHOCEL K-15M PREMIUM', 'HYPROMELLOSE 2208 (15000 CPS)', 'HYPROMELLOSE 2208 (15000 MPA.S) [II]', 'HYDROXYPROPYL METHYLCELLULOSE 2208 (11250-21000 CPS)', 'HYPERMELLOSE 2208 (11250 - 21000 CPS)', 'HYPROMELLOSE 2208 (11250 - 21000 CPS)', 'HYDROXYPROPYL METHYLCELLULOSE 2208 (15000 CPS)']",HYPROMELLOSE 2208 (15000 MPA.S),"['METHOCEL K15M', 'BENECEL HPMC K15M', 'DEMACOL HK 15M']",,nan,,,,,,0,0,,0,2014.0,[],[],[],[],[],[],,HYPROMELLOSE 2208 (15000 MPA.S),https://pubchem.ncbi.nlm.nih.gov/compound/Hypromellose%202208%20(15000%20mPa.s),FEATURED,9004-65-3,"11106-33-5, 125053-98-7, 125857-43-4, 1262284-64-9, 12673-53-9, 137397-89-8, 137397-90-1, 137397-91-2, 171544-38-0, 173080-61-0, 194615-25-3, 2227180-04-1, 2258661-54-8, 2376293-65-9, 2738514-21-9, 37341-76-7, 39363-71-8, 59029-31-1, 62683-26-5, 65607-39-8, 68073-10-9, 71373-07-4, 8063-82-9, 876407-53-3, 98112-80-2",COMPOUND,
9006-65-9,https://drugs.ncats.io/drug/TYU5GP6XGE,"['DIMETHICONE 410', 'DIMETHICONE (410 MPA.S)', 'DIMETHICONE (410 CST)', 'DIMETHICONE (DOW CORNING Q7-2243 LVA SIMETHICONE COMPONENT)', 'DIMETICONE 410', 'DIMETICONE 410 [EP]']",DIMETHICONE 410,[],,nan,,,,,,0,0,,0,2012.0,[],[],[],[],[],[],,DIMETHICONE 410,https://pubchem.ncbi.nlm.nih.gov/compound/Dimethicone%20410,FEATURED,9006-65-9,,COMPOUND,
9004-65-3,https://drugs.ncats.io/drug/0VUT3PMY82,"['HYPROMELLOSE 2910 (3 MPA.S)', 'HYDROXYPROPYL METHYLCELLULOSE 603', 'HYDROXYPROPYL METHYLCELLULOSE 603 [II]', 'HYPROMELLOSE 3CP', 'HYPROMELLOSE 603', 'HPMC 603', 'HYPROMELLOSE E3', 'HYDROXYPROPYL METHYLCELLULOSE 3CP', 'HYPROMELLOSE 2910 (3 CPS)']",HYPROMELLOSE 2910 (3 MPA.S),"['PHARMACOAT 603', 'BENECEL HPMC E3', 'METHOCEL E3']",,nan,,,,,,0,0,,0,2011.0,[],[],[],[],[],[],,HYPROMELLOSE 2910 (3 MPA.S),https://pubchem.ncbi.nlm.nih.gov/compound/Hypromellose%202910%20(3%20MPA.S),FEATURED,9004-65-3,"11106-33-5, 125053-98-7, 125857-43-4, 1262284-64-9, 12673-53-9, 137397-89-8, 137397-90-1, 137397-91-2, 171544-38-0, 173080-61-0, 194615-25-3, 2227180-04-1, 2258661-54-8, 2376293-65-9, 2738514-21-9, 37341-76-7, 39363-71-8, 59029-31-1, 62683-26-5, 65607-39-8, 68073-10-9, 71373-07-4, 8063-82-9, 876407-53-3, 98112-80-2",COMPOUND,
25322-68-3,https://drugs.ncats.io/drug/5655G9Y8AQ,"['POLYETHYLENE GLYCOL 300', 'POLYETHYLENE GLYCOL 300 [VANDF]', 'MACROGOL 300', 'POLYOXYETHYLENE (6)', 'PEG 300', 'PEG-6 [INCI]', 'POLYETHYLENE GLYCOL 300 [II]']",POLYETHYLENE GLYCOL 300,"['LIPOXOL 300 MED', 'SABOPEG 300', 'TOHO PEG NO. 300', 'JEECHEM 300', 'CARBOWAX PEG 300', 'POLYGLYKOL 300', 'LIPO POLYGLYCOL 300', 'LUMULSE PEG 300', 'UPIWAX 300']",,nan,,,,,,0,0,,0,2010.0,[],[],[],[],[],[],,POLYETHYLENE GLYCOL 300,https://pubchem.ncbi.nlm.nih.gov/compound/Polyethylene%20Glycol%20300,FEATURED,"2615-15-8, 25322-68-3","1011711-38-8, 101677-86-5, 1033001-32-9, 1035554-64-3, 106186-24-7, 107502-63-6, 107529-96-4, 109550-27-8, 112384-37-9, 112895-21-3, 113041-64-8, 114323-93-2, 1152430-37-9, 116549-90-7, 1186292-40-9, 1186292-41-0, 119219-06-6, 1204298-97-4, 1221382-78-0, 1221382-83-7, 1221889-65-1, 1246265-64-4, 125223-68-9, 1256377-90-8, 1267533-36-7, 12676-74-3, 12770-93-3, 1287768-38-0, 1293291-01-6, 1319730-68-1, 1330618-78-4, 133573-31-6, 1338951-32-8, 134919-43-0, 1373256-89-3, 1377964-82-3, 1422717-42-7, 1429745-88-9, 1434253-80-1, 1435263-27-6, 1446681-77-1, 1474108-09-2, 150872-82-5, 154394-38-4, 156948-19-5, 1613520-06-1, 1620693-21-1, 1628723-15-8, 1636129-20-8, 169046-53-1, 1696472-65-7, 1710469-72-9, 174460-08-3, 174460-09-4, 1800416-42-5, 1809027-71-1, 1852508-98-5, 1873338-22-7, 188364-77-4, 188924-03-0, 189154-62-9, 191743-71-2, 1927875-70-4, 196696-84-1, 201163-43-1, 2015216-86-9, 206357-86-0, 2088235-52-1, 2092889-80-8, 2122851-44-7, 2170314-63-1, 221638-71-7, 225502-44-3, 2394768-82-0, 2409576-55-0, 2417963-12-1, 25104-58-9, 25609-81-8, 270910-26-4, 307928-07-0, 34802-42-1, 356055-70-4, 37361-15-2, 391229-98-4, 402483-26-5, 411207-22-2, 497171-83-2, 50809-04-6, 50809-59-1, 51312-32-4, 54510-95-1, 54847-64-2, 59763-40-5, 60894-12-4, 615575-04-7, 61840-14-0, 64441-68-5, 64640-28-4, 67411-64-7, 6790-09-6, 70926-57-7, 75285-02-8, 75285-03-9, 77986-38-0, 79964-26-4, 80341-53-3, 8038-37-7, 85399-22-0, 857367-46-5, 859315-72-3, 85945-29-5, 863328-36-3, 876655-84-4, 88077-80-9, 886469-28-9, 88747-22-2, 9002-90-8, 90597-70-9, 9081-95-2, 9085-02-3, 9085-03-4, 952682-62-1, 956217-69-9, 959127-49-2, 99264-61-6, 99333-89-8, 2615-15-8",COMPOUND,
5117-19-1,https://drugs.ncats.io/drug/B697894SGQ,"['POLYETHYLENE GLYCOL 400', 'OCTAETHYLENE GLYCOL', 'PEG-8 [INCI]', 'POLYETHYLENE GLYCOL 8 [VANDF]', 'MACROGOL 400 [WHO-DD]', 'POLYETHYLENE GLYCOL 400 [VANDF]', 'POLYETHYLENE GLYCOL 8', 'MACROGOL 400', 'POLYETHYLENE GLYCOL 400 [II]', 'PEG 400', 'PEG-400 [VANDF]', 'CARBOWAX PEG 400', 'PEG-8 [VANDF]', 'PEG-400 [INCI]']",POLYETHYLENE GLYCOL 400,"['TOHO PEG NO. 400', 'LIPO POLYGLYCOL 400', 'PROTACHEM 400', 'UNIPEG-400 X', 'LUMULSE PEG 400', 'POLYGLYKOL 400', 'UPIWAX 400', 'JEECHEM 400', 'SYMPATENS-PEG/400', 'PLURACARE E 400', 'HETOXIDE EG-400', 'BOTANIPEG 400', 'LIPOXOL 400 MED']",,nan,,,,,,0,0,,0,2001.0,[],[],[],[],[],[],,POLYETHYLENE GLYCOL 400,https://pubchem.ncbi.nlm.nih.gov/compound/Polyethylene%20Glycol%20400,FEATURED,"5117-19-1, 25322-68-3","1011711-38-8, 101677-86-5, 1033001-32-9, 1035554-64-3, 106186-24-7, 107502-63-6, 107529-96-4, 109550-27-8, 112384-37-9, 112895-21-3, 113041-64-8, 114323-93-2, 1152430-37-9, 116549-90-7, 1186292-40-9, 1186292-41-0, 119219-06-6, 1204298-97-4, 1221382-78-0, 1221382-83-7, 1221889-65-1, 1246265-64-4, 125223-68-9, 1256377-90-8, 1267533-36-7, 12676-74-3, 12770-93-3, 1287768-38-0, 1293291-01-6, 1319730-68-1, 1330618-78-4, 133573-31-6, 1338951-32-8, 134919-43-0, 1373256-89-3, 1377964-82-3, 1422717-42-7, 1429745-88-9, 1434253-80-1, 1435263-27-6, 1446681-77-1, 1474108-09-2, 150872-82-5, 154394-38-4, 156948-19-5, 1613520-06-1, 1620693-21-1, 1628723-15-8, 1636129-20-8, 169046-53-1, 1696472-65-7, 1710469-72-9, 174460-08-3, 174460-09-4, 1800416-42-5, 1809027-71-1, 1852508-98-5, 1873338-22-7, 188364-77-4, 188924-03-0, 189154-62-9, 191743-71-2, 1927875-70-4, 196696-84-1, 201163-43-1, 2015216-86-9, 206357-86-0, 2088235-52-1, 2092889-80-8, 2122851-44-7, 2170314-63-1, 221638-71-7, 225502-44-3, 2394768-82-0, 2409576-55-0, 2417963-12-1, 25104-58-9, 25609-81-8, 270910-26-4, 307928-07-0, 34802-42-1, 356055-70-4, 37361-15-2, 391229-98-4, 402483-26-5, 411207-22-2, 497171-83-2, 50809-04-6, 50809-59-1, 51312-32-4, 54510-95-1, 54847-64-2, 59763-40-5, 60894-12-4, 615575-04-7, 61840-14-0, 64441-68-5, 64640-28-4, 67411-64-7, 6790-09-6, 70926-57-7, 75285-02-8, 75285-03-9, 77986-38-0, 79964-26-4, 80341-53-3, 8038-37-7, 85399-22-0, 857367-46-5, 859315-72-3, 85945-29-5, 863328-36-3, 876655-84-4, 88077-80-9, 886469-28-9, 88747-22-2, 9002-90-8, 90597-70-9, 9081-95-2, 9085-02-3, 9085-03-4, 952682-62-1, 956217-69-9, 959127-49-2, 99264-61-6, 99333-89-8, 5117-19-1",COMPOUND,
