,molecule,CAS
103,OMEGA-3 ACID ETHYL ESTERS,"84494-70-2, 86227-47-6"
104,OPRELVEKIN,"137598-97-1, 145941-26-0"
105,PALMARIA PALMATA,"977007-74-1, 223751-74-4"
106,PANCREAS,9025-24-5
107,PENICILLAMINE,"771431-20-0, 52-67-5"
108,PHENOLPHTHALEIN,"77-09-8
5768-87-6, 77-09-8"
109,PHENYLALANINE,63-91-2
110,PHENYLBUTYRATE,1821-12-1
111,PHENYLETHYLACETIC ACID,33987-92-7
112,PHOENIX DACTYLIFERA,89531-62-4
113,PHOSPHOLIPIDS,92128-87-5
114,PHOSPHORUS,"7723-14-0 (red, violet, and black), 7723-14-0, 12185-10-3"
115,PINUS STROBUS,90082-77-2
116,PIPER METHYSTICUM,9000-38-8
117,PLANTAGO MAJOR,84929-43-1
118,PLASMIN,62354-43-2
119,POLOXALKOL,"53637-25-5, 9003-11-6, 106392-12-5"
120,POLOXAMER,"53637-25-5, 9003-11-6, 106392-12-5"
121,POLYURETHANE,"9009-54-5, 53504-41-9, 65916-86-1, 68258-82-2"
122,PROLINE,"4305-67-3, 147-85-3, 37159-97-0"
123,PROTHROMBIN,103658-53-3
124,PYGEUM AFRICANUM,"85865-74-3, 94279-95-5"
125,QUERCUS ALBA,68917-11-3
126,QUERCUS ROBUR,71011-28-4
127,QUININE,"72402-53-0, 130-95-0, 1407-83-6, 804-63-7"
128,RACEPHEDRINE,"53214-57-6, 90-81-3, 299-42-3"
129,RANITIDINE,82530-72-1
130,RANUNCULUS BULBOSUS,90106-07-3
131,RAPHANUS SATIVUS,84775-94-0
132,SARGRAMOSTIM,"83869-56-1, 123774-72-1"
133,SCROPHULARIA NODOSA,90106-65-3
134,SEPIA OFFICINALIS,8049-97-6
135,SIMETICONE,8050-81-5
136,SPIGELIA ANTHELMIA,84961-60-4
137,STELLARIA MEDIA,90131-34-3
138,TACRINE,"321-64-2, 206658-92-6"
139,TACROLIMUS,"104987-11-3, 109581-93-3"
140,TADALAFIL,"171596-29-5, 171596-27-3"
141,TAFENOQUINE,106635-80-7
142,TAFLUPROST,209860-87-7
143,TALC,"308076-02-0, 14807-96-6"
144,TERPIN HYDRATE,"8006-39-1, 2451-01-6"
145,TETRABENAZINE,"718635-93-9, 58-46-8, 1392826-25-3"
146,TINIDAZOLE,"148159-84-6, 19387-91-8"
147,TRANYLCYPROMINE,"3721-26-4, 155-09-9, 3721-28-6"
148,TRIBULUS TERRESTRIS,90131-68-3
149,TRITICUM VULGARE,"68917-73-7, 8006-95-9"
150,TURPENTINE OIL,"8006-64-2
9005-90-7, 8006-64-2, 9005-90-7, 8052-14-0, 977022-00-6, 8006-64-2; 9005-90-7"
151,URTICA DIOICA,84012-40-8
152,VALERIANA OFFICINALIS,81397-67-3
153,VARENICLINE,249296-44-4
154,VASOPRESSIN,150683-30-0
155,VECURONIUM BROMIDE,50700-72-6
156,VEDOLIZUMAB,943609-66-3
157,VERBENA OFFICINALIS,977000-41-1
158,VITAMIN F,"7771-44-0, 11006-87-4, 506-32-1"
159,VITAMIN K,"12001-79-5, 27696-10-2, 81818-54-4"
160,XYLANASE,"9025-57-4, 7554-16-7"
161,XYLOSE,"10257-31-5, 50855-32-8, 58-86-6, 7261-26-9"
