molecule,cas,best_match_url,results,query_url,query_type,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
ABARELIX,183552-38-7,https://drugs.ncats.io/drug/W486SJ5824,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""183552%2038%207"")",ONLY CAS,US Previously Marketed 2003,PLENAXIS by SPECIALITY EUROPEAN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021320,US Previously Marketed 2003,PLENAXIS by SPECIALITY EUROPEAN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021320,Advanced prostate cancer,Approved
ABATACEPT,332348-12-6,https://drugs.ncats.io/drug/7D0YB67S97,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""332348%2012%206"")",ONLY CAS,US Approved Rx 2005,BLA125118,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125118,US Approved Rx 2005,BLA125118,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125118,,
ABCIXIMAB,143653-53-6,https://drugs.ncats.io/drug/X85G7936GV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""143653%2053%206"")",ONLY CAS,US Approved Rx 1994,BLA103575,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103575,Possibly Marketed Outside US 1993,BLA103575,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=033d4c3b-4630-4256-b8f7-9ed5f15de9a3,,
ABEMACICLIB,1231929-97-7,https://drugs.ncats.io/drug/60UAB198HK,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1231929%2097%207"")",ONLY CAS,US Approved Rx 2017,NDA208716,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208716,US Approved Rx 2017,NDA208716,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208716,Breast cancer; Melanoma; Glioblastoma; Non-small cell lung cancer; HER2-negative advanced breast cancer,Phase III; Phase II; Phase II; Phase III; Approved
ABIRATERONE ACETATE,154229-18-2,https://drugs.ncats.io/drug/EM5OCB9YJ6,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""154229%2018%202"")",ONLY CAS,US Approved Rx 2023,NDA216793,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216793,US Approved Rx 2011,NDA202379,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202379,Metastatic castration-resistant prostate cancer,Approved
ACALABRUTINIB,1420477-60-6,https://drugs.ncats.io/drug/I42748ELQW,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1420477%2060%206"")",ONLY CAS,US Approved Rx 2022,NDA216387,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216387,US Approved Rx 2017,NDA210259,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210259,Chronic lymphocytic leukemia; Rheumatoid arthritis; Glioblastoma multiforme; Mantle cell lymphoma; Head and neck squamous cell carcinoma; mantle cell lymphoma,Phase III; Phase II; Phase II; Phase II; Phase II; Approved
ACAMPROSATE,77337-76-9,https://drugs.ncats.io/drug/N4K14YGM3J,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""77337%2076%209"")",ONLY CAS,US Approved Rx 2013,ANDA202229,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202229,US Previously Marketed 2004,CAMPRAL by FOREST LABS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021431,Alcohol addiction,Approved
ACARBOSE,56180-94-0,https://drugs.ncats.io/drug/T58MSI464G,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""56180%2094%200"")",ONLY CAS,US Approved Rx 2009,ANDA078441,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078441,US Previously Marketed 1995,PRECOSE by BAYER HLTHCARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020482,Type 2 diabetes mellitus,Approved
ACEBUTOLOL,37517-30-9,https://drugs.ncats.io/drug/67P356D8GH,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""37517%2030%209"")",ONLY CAS,US Approved Rx 1995,ANDA074007,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074007,US Previously Marketed 1984,SECTRAL by PROMIUS PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018917,Ventricular arrhythmia; Hypertension,Approved; Approved
ACEMANNAN,110042-95-0,https://drugs.ncats.io/drug/UZ29E6L2X8,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""110042%2095%200"")",ONLY CAS,Possibly Marketed Outside US 2014,21 CFR 347,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=122273ec-d670-4606-baf8-c9fe3fddebed,Possibly Marketed Outside US 2014,21 CFR 347,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=122273ec-d670-4606-baf8-c9fe3fddebed,,
ACEPROMAZINE,61-00-7,https://drugs.ncats.io/drug/54EJ303F0R,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""61%2000%207"")",ONLY CAS,Possibly Marketed Outside US ,Canada:ACEPROMAZINE MALEATE,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 2011,NADA015030,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=11ee8981-46eb-4791-8e40-727c991341fe,Agitation (veterinary); Schizophrenia,Approved; Not Provided
ACESULFAME,33665-90-6,https://drugs.ncats.io/drug/MA3UYZ6K1H,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""33665%2090%206"")",ONLY CAS,Possibly Marketed Outside US 2012,21 CFR 334,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=62cbf4ea-5ae5-4f4d-b054-6fe4635a93fe,Possibly Marketed Outside US 2002,NDA022410,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=16695a4c-9e32-4a4d-8aa9-e10fd2412a46,Obesity,Approved
ACETAZOLAMIDE,59-66-5,https://drugs.ncats.io/drug/O3FX965V0I,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""59%2066%205"")",ONLY CAS,US Approved Rx 2023,ANDA211151,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211151,US Previously Marketed 1953,DIAMOX by TEVA BRANDED PHARM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008943,Open-angle glaucoma; Acute mountain sickness,Approved; Approved
ACETIC ACID,64-19-7,https://drugs.ncats.io/drug/Q40Q9N063P,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""64%2019%207"")",ONLY CAS,US Approved Rx 1978,ANDA085998,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085998,US Previously Marketed 1921,Sodium Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Otitis externa; Cyanide poisoning,Approved; Approved
ACETOHEXAMIDE,968-81-0,https://drugs.ncats.io/drug/QGC8W08I6I,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""968%2081%200"")",ONLY CAS,US Previously Marketed 1986,ACETOHEXAMIDE by USL PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070754,US Previously Marketed 1964,DYMELOR by LILLY,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013378,Type 2 diabetes mellitus,Approved
ACETOHYDROXAMIC ACID,546-88-3,https://drugs.ncats.io/drug/4RZ82L2GY5,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""546%2088%203"")",ONLY CAS,US Approved Rx 1983,NDA018749,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018749,US Approved Rx 1983,NDA018749,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018749,chronic urea-splitting urinary infection,Approved
ACETONE,67-64-1,https://drugs.ncats.io/drug/1364PS73AF,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""67%2064%201"")",ONLY CAS,US Previously Marketed 1921,Acetone U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Acetone U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
ACETYL-L-CARNITINE,3040-38-8,https://drugs.ncats.io/drug/6DH1W9VH8Q,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""3040%2038%208"")",ONLY CAS,US Approved Rx 1985,NDA018948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018948,US Approved Rx 1985,NDA018948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018948,Systemic primary carnitine deficiency; Ulcerative colitis; Peripheral arterial occlusive disorders; Congestive heart failure,Approved; Phase III; Approved; Phase III
ACETYLCHOLINE,51-84-3,https://drugs.ncats.io/drug/N9YNS0M02X,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""51%2084%203"")",ONLY CAS,US Approved Rx 1993,NDA020213,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020213,US Previously Marketed 1966,MIOCHOL by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016211,Mydriasis,Approved
ACETYLCYSTEINE,616-91-1,https://drugs.ncats.io/drug/WYQ7N0BPYC,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""616%2091%201"")",ONLY CAS,US Approved Rx 2012,ANDA203853,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203853,US Previously Marketed 1963,MUCOMYST by APOTHECON,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013601,Cystic fibrosis; Hepatic injury,Approved; Approved
ACETYLSALICYLIC ACID,50-78-2,https://drugs.ncats.io/drug/R16CO5Y76E,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""50%2078%202"")",ONLY CAS,US Approved OTC ,21 CFR 343.13(b) internal analgesic:rheumatologic aspirin (buffered),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec343-13.xml,US Previously Marketed 1899,"Aspirin by Friedr. Bayer & Co., Elberfeld, Germany",https://catalog.hathitrust.org/Record/100782317,Headache; Pain; Stroke; Myocardial infarction,Approved; Approved; Approved; Approved
ACETYLSULFAFURAZOLE,80-74-0,https://drugs.ncats.io/drug/WBT5QH3KED,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""80%2074%200"")",ONLY CAS,US Previously Marketed 1949,Gantrisin by Hoffmann-La Roche,DeHaen 1940-1975 NMEs,US Previously Marketed 1948,GANTRISIN by ROCHE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006525,Acute otitis media,Approved
ACHILLEA MILLEFOLIUM,977000-16-0,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""977000%2016%200"")",ONLY CAS,,,,,,,,
ACICLOVIR,59277-89-3,https://drugs.ncats.io/drug/X4HES1O11F,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""59277%2089%203"")",ONLY CAS,US Approved Rx 2019,ANDA210774,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210774,US Approved Rx 1982,NDA018604,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018604,Cold sores; Genital herpes; Herpes zoster infections; Herpes simplex infection; Herpes zoster infections,Approved; Approved; Approved; Approved; Approved
ACITRETIN,55079-83-9,https://drugs.ncats.io/drug/LCH760E9T7,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""55079%2083%209"")",ONLY CAS,US Approved Rx 2013,ANDA202897,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202897,US Previously Marketed 1996,SORIATANE by STIEFEL LABS INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019821,Psoriasis,Approved
ACLIDINIUM BROMIDE,320345-99-1,https://drugs.ncats.io/drug/UQW7UF9N91,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""320345%2099%201"")",ONLY CAS,US Approved Rx 2019,NDA210595,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210595,US Approved Rx 2012,NDA202450,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202450,Bronchospasm associated with chronic obstructive pulmonary disease,Approved
ACRIVASTINE,87848-99-5,https://drugs.ncats.io/drug/A20F9XAI7W,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""87848%2099%205"")",ONLY CAS,US Previously Marketed 1994,SEMPREX-D by AUXILIUM PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019806,US Previously Marketed 1994,SEMPREX-D by AUXILIUM PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019806,Seasonal allergic rhinitis,Approved
ADALIMUMAB,331731-18-1,https://drugs.ncats.io/drug/FYS6T7F842,7,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""331731%2018%201"")%20AND%20(root_names_name:""%5EADALIMUMAB$"")",EXACT NAME,US Approved Rx 2002,BLA125057,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125057,Possibly Marketed Outside US 2002,BLA125057,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=608d4f0d-b19f-46d3-749a-7159aa5f933d,,
ADAPALENE,106685-40-9,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""106685%2040%209"")",ONLY CAS,,,,,,,,
ADEFOVIR DIPIVOXIL,142340-99-6,https://drugs.ncats.io/drug/U6Q8Z01514,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""142340%2099%206"")",ONLY CAS,US Approved Rx 2013,ANDA202051,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202051,US Previously Marketed 2002,HEPSERA by GILEAD,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021449,Chronic hepatitis B,Approved
ADEMETIONINE,29908-03-0,https://drugs.ncats.io/drug/7LP2MPO46S,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""29908%2003%200"")",ONLY CAS,Possibly Marketed Outside US ,WHO-ATC:A16AA02,https://ginas.ncats.nih.gov/ginas/app/substance/7LP2MPO46S,,,,"Non-alcoholic fatty liver disease; Liver disease, alcoholic; Depression; Osteoarthritis; Fibromyalgia",Phase III; Phase III; Approved; Approved; Approved
ADENOSINE,58-61-7,https://drugs.ncats.io/drug/K72T3FS567,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""58%2061%207"")",ONLY CAS,US Approved Rx 2005,ANDA077133,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077133,US Previously Marketed 1976,VIRA-A by PARKEDALE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050486,Keratoconjunctivitis; Epithelial keratitis; Herpes simplex infection; Paroxysmal supraventricular tachycardia,Approved; Approved; Phase III; Approved
ADENOSINE TRIPHOSPHATE,56-65-5,https://drugs.ncats.io/drug/8L70Q75FXE,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""56%2065%205"")",ONLY CAS,Possibly Marketed Outside US ,Japan:Adenosine 5'-Triphosphate Disodium,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 2009,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1725b5af-fe03-4372-beaf-d6fd9088a1f1,,
ADIPIODONE,606-17-7,https://drugs.ncats.io/drug/TKQ858A3VW,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""606%2017%207"")",ONLY CAS,US Previously Marketed 1958,SINOGRAFIN by BRACCO,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011324,US Previously Marketed 1954,CHOLOGRAFIN MEGLUMINE by BRACCO,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009321,Hepatobiliary disease,Approved
AFATINIB,850140-72-6,https://drugs.ncats.io/drug/41UD74L59M,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""850140%2072%206"")",ONLY CAS,US Approved Rx 2013,NDA201292,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201292,US Approved Rx 2013,NDA201292,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201292,Non-small cell lung cancer,Approved
AFLIBERCEPT,862111-32-8,https://drugs.ncats.io/drug/15C2VL427D,2,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""862111%2032%208"")%20AND%20(root_names_name:""%5EAFLIBERCEPT$"")",EXACT NAME,US Approved Rx 2012,BLA125418,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125418,US Approved Rx 2011,BLA125387,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125387,,
AGALSIDASE BETA,104138-64-9,https://drugs.ncats.io/drug/RZD65TSM9U,2,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""104138%2064%209"")%20AND%20(root_names_name:""%5EAGALSIDASE%20BETA$"")",EXACT NAME,US Approved Rx 2003,BLA103979,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103979,US Approved Rx 2003,BLA103979,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103979,,
ALANINE,56-41-7,https://drugs.ncats.io/drug/OF5P57N2ZX,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""56%2041%207"")",ONLY CAS,US Previously Marketed ,21 CFR 310.532(a) benign prostatic hypertrophy alanine,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-532.xml,Possibly Marketed Outside US 1971,NDA016822,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6ea7ec73-403e-4303-8862-6380e2f1fda6,Fructose intolerance; Muscle atrophy; Low birth weight; Burns,Natural Metabolite; Natural Metabolite; Natural Metabolite; Approved
ALATROFLOXACIN,146961-76-4,https://drugs.ncats.io/drug/7QVV6I50DT,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""146961%2076%204"")",ONLY CAS,US Previously Marketed 1997,TROVAN PRESERVATIVE FREE by PFIZER,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020760,US Previously Marketed 1997,TROVAN PRESERVATIVE FREE by PFIZER,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020760,Complicated skin and skin structure infections; Pneumonia; Intra-abdominal infections; Complicated intra-abdominal infections; Skin infections; Pneumonia; Gynecologic infections; Nosocomial pneumonia,Approved; Approved; Approved; Withdrawn; Withdrawn; Withdrawn; Withdrawn; Withdrawn
ALBENDAZOLE,54965-21-8,https://drugs.ncats.io/drug/F4216019LN,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""54965%2021%208"")",ONLY CAS,US Approved Rx 2019,ANDA208094,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208094,Possibly Marketed Outside US 1989,NADA110048,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=94cf5818-f27d-4374-87ad-54a2d9ce6ef1,Neurocysticercosis; Hydatid disease,Approved; Approved
ALBIGLUTIDE,782500-75-8,https://drugs.ncats.io/drug/5E7U48495E,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""782500%2075%208"")",ONLY CAS,US Previously Marketed 2014,TANZEUM by GLAXOSMITHKLINE LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125431,US Previously Marketed 2014,TANZEUM by GLAXOSMITHKLINE LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125431,,
ALBUMIN,33069-62-4,https://drugs.ncats.io/drug/P88XT4IS4D,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""33069%2062%204"")",ONLY CAS,US Approved Rx 2018,ANDA205720,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205720,US Previously Marketed 1992,TAXOL by HQ SPCLT PHARMA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020262,Advanced carcinoma of the ovary; Non-small cell lung cancer; Breast cancer,Approved; Approved; Approved
