Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
ABIRATERONE ACETATE,ABIRATERONE ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/9821849,FEATURED,154229-18-2,No CAS info,COMPOUND,YES,YES,YES
ABRUS PRECATORIUS,ABRUS PRECATORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/482044096,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ABSORBABLE GELATIN/COLLAGEN SPONGE,ABSORBABLE GELATIN/COLLAGEN SPONGE,https://pubmed.ncbi.nlm.nih.gov/24377182,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
ACACIA CATECHU,ACACIA CATECHU,https://pubchem.ncbi.nlm.nih.gov/substance/482039925,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ACACIA SENEGAL,ACACIA SENEGAL,https://pubchem.ncbi.nlm.nih.gov/substance/482044117,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ACALABRUTINIB,ACALABRUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/71226662,FEATURED,1420477-60-6,No CAS info,COMPOUND,YES,YES,YES
ACAMPROSATE,ACAMPROSATE,https://pubchem.ncbi.nlm.nih.gov/compound/71158,FEATURED,77337-76-9,No CAS info,COMPOUND,YES,YES,YES
ACARBOSE,ACARBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/41774,FEATURED,56180-94-0,No CAS info,COMPOUND,YES,YES,YES
ACEBUTOLOL,ACEBUTOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/1978,FEATURED,37517-30-9,28197-63-9,COMPOUND,YES,YES,YES
ACEMANNAN,ACEMANNAN,https://pubchem.ncbi.nlm.nih.gov/compound/72041,FEATURED,110042-95-0,110865-83-3,COMPOUND,YES,YES,YES
ACEPROMAZINE,ACEPROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6077,FEATURED,61-00-7,No CAS info,COMPOUND,YES,YES,YES
ACESULFAME,ACESULFAME,https://pubchem.ncbi.nlm.nih.gov/compound/36573,FEATURED,33665-90-6,No CAS info,COMPOUND,YES,YES,YES
ACETAZOLAMIDE,ACETAZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1986,FEATURED,59-66-5,"5661-25-6, 8017-69-4, 909032-78-6, 8017-69-4",COMPOUND,YES,YES,YES
ACETIC ACID,ACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/176,FEATURED,"64-19-7, 546-67-8, 2887-46-9, 77671-22-8, 57745-60-5, 63459-47-2, 285977-76-6, 8028-52-2","1053656-97-5, 1173022-32-6, 77671-22-8, 612524-90-0, 1053656-97-5, 463-83-2",COMPOUND,YES,YES,YES
ACETOHEXAMIDE,ACETOHEXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1989,FEATURED,"968-81-0, 664-95-9",8054-32-8,COMPOUND,YES,YES,YES
ACETOHYDROXAMIC ACID,ACETOHYDROXAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1990,FEATURED,546-88-3,No CAS info,COMPOUND,YES,YES,YES
ACETONE,ACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/180,FEATURED,67-64-1,No CAS info,COMPOUND,YES,YES,YES
ACETONE (KETONE) TESTS,ACETONE (KETONE) TESTS,https://pubmed.ncbi.nlm.nih.gov/33027776,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
ACETYL-L-CARNITINE,ACETYL-L-CARNITINE,https://pubchem.ncbi.nlm.nih.gov/compound/7045767,FEATURED,3040-38-8,"3624-25-7, 461-77-8, 541-68-4, 74832-89-6",COMPOUND,YES,YES,YES
ACETYLCHOLINE,ACETYLCHOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/187,FEATURED,"51-84-3, 14047-05-3, 14586-35-7",No CAS info,COMPOUND,YES,YES,YES
ACETYLCYSTEINE,ACETYLCYSTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/12035,FEATURED,"616-91-1, 7218-04-4","1261105-20-7, 7696-05-1",COMPOUND,YES,YES,YES
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2244,FEATURED,"50-78-2, 79-34-5, 621-71-6","11126-35-5, 11126-37-7, 2087491-38-9, 2349-94-2, 26914-13-6, 98201-60-6, 17263-37-5, 11126-35-5, 11126-37-7, 2349-94-2, 26914-13-6",COMPOUND,YES,YES,YES
ACETYLSULFAFURAZOLE,ACETYLSULFAFURAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6662,FEATURED,80-74-0,No CAS info,COMPOUND,YES,YES,YES
ACHILLEA MILLEFOLIUM,ACHILLEA MILLEFOLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Achillea%20millefolium,FEATURED,"977000-16-0, 8022-07-9",No CAS info,COMPOUND,MISSING,YES,YES
ACICLOVIR,ACICLOVIR,https://pubchem.ncbi.nlm.nih.gov/compound/135398513,FEATURED,"59277-89-3, 32467-88-2, 125440-97-3",No CAS info,COMPOUND,YES,YES,YES
ACITRETIN,ACITRETIN,https://pubchem.ncbi.nlm.nih.gov/compound/5284513,FEATURED,"55079-83-9, 54757-46-9, 419534-31-9",No CAS info,COMPOUND,YES,YES,YES
ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/11519741,FEATURED,320345-99-1,No CAS info,COMPOUND,YES,YES,YES
ACONITUM NAPELLUS,ACONITUM NAPELLUS,https://pubchem.ncbi.nlm.nih.gov/compound/Aconitum%20Napellus,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
ACRIVASTINE,ACRIVASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/5284514,FEATURED,87848-99-5,No CAS info,COMPOUND,YES,YES,YES
ADALIMUMAB,ADALIMUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Adalimumab,FEATURED,331731-18-1,No CAS info,COMPOUND,MISSING,YES,YES
ADAPALENE,ADAPALENE,https://pubchem.ncbi.nlm.nih.gov/compound/60164,FEATURED,106685-40-9,No CAS info,COMPOUND,YES,YES,YES
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/60871,FEATURED,142340-99-6,No CAS info,COMPOUND,YES,YES,YES
ADEMETIONINE,ADEMETIONINE,https://pubchem.ncbi.nlm.nih.gov/compound/34755,FEATURED,"29908-03-0, 17176-17-9, 78548-84-2, 91279-78-6","23095-97-8, 2613-02-7, 28378-99-6, 5134-37-2, 86522-35-2, 86866-89-9, 23095-97-8, 2613-02-7, 28378-99-6, 86522-35-2, 86866-89-9, 78548-84-2",COMPOUND,YES,YES,YES
ADENOSINE,ADENOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/60961,FEATURED,"58-61-7, 133248-01-8","46946-45-6, 46969-16-8, 1348387-95-0, 46946-45-6, 46969-16-8, 46969-16-8",COMPOUND,YES,YES,YES
ADENOSINE TRIPHOSPHATE,ADENOSINE TRIPHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/5957,FEATURED,"56-65-5, 11016-17-4","10168-83-9, 1259312-93-0, 16488-07-6, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7, 10168-83-9, 1259312-93-0, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7",COMPOUND,YES,YES,YES
ADIPIODONE,ADIPIODONE,https://pubchem.ncbi.nlm.nih.gov/compound/3739,FEATURED,606-17-7,No CAS info,COMPOUND,YES,YES,YES
ADRENAL CORTEX,ADRENAL CORTEX,https://pubchem.ncbi.nlm.nih.gov/substance/482039705,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
AESCULUS HIPPOCASTANUM,AESCULUS HIPPOCASTANUM,https://pubchem.ncbi.nlm.nih.gov/substance/483924302,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
AFATINIB,AFATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/10184653,FEATURED,"850140-72-6, 439081-18-2",No CAS info,COMPOUND,YES,YES,YES
AFLIBERCEPT,AFLIBERCEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Aflibercept,FEATURED,862111-32-8,924289-53-2,COMPOUND,MISSING,YES,YES
AGALSIDASE BETA,AGALSIDASE BETA,https://pubchem.ncbi.nlm.nih.gov/compound/Agalsidase%20Beta,FEATURED,104138-64-9,9025-35-8,COMPOUND,MISSING,YES,YES
AGARICUS CAMPESTRIS,AGARICUS CAMPESTRIS,https://pubchem.ncbi.nlm.nih.gov/substance/482032839,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ALANINE,ALANINE,https://pubchem.ncbi.nlm.nih.gov/compound/5950,FEATURED,"56-41-7, 302-72-7, 18875-37-1, 25191-17-7, 77160-91-9, 25840-83-9, 2799-07-7, 25840-84-0, 19291-17-9, 3054-01-1, 28809-04-3, 97-69-8, 949-99-5, 2072-71-1, 5570-04-7, 1948-31-8, 7298-84-2, 498-40-8, 6853-87-8, 5191-80-0, 3695-73-6, 1088-80-8, 6940-98-3, 2018-61-3, 2198-64-3, 35849-41-3, 1187-84-4","1150316-17-8, 115967-49-2, 170805-71-7, 6898-94-8, 759445-89-1, 787635-21-6",COMPOUND,YES,YES,YES
ALATROFLOXACIN,ALATROFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/3086677,FEATURED,146961-76-4,157182-32-6,COMPOUND,YES,YES,YES
ALBENDAZOLE,ALBENDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/2082,FEATURED,54965-21-8,No CAS info,COMPOUND,YES,YES,YES
ALBIGLUTIDE,ALBIGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Albiglutide,FEATURED,782500-75-8,No CAS info,COMPOUND,MISSING,YES,YES
ALBUMIN,ALBUMIN,https://pubchem.ncbi.nlm.nih.gov/compound/36314,RELEVANT,"33069-62-4, 92950-39-5","1203669-79-7, 157069-30-2",COMPOUND,NO,NO,NO
ALBUTREPENONACOG ALFA,ALBUTREPENONACOG ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Albutrepenonacog%20Alfa,FEATURED,1357448-54-4,No CAS info,COMPOUND,MISSING,YES,YES
ALCAFTADINE,ALCAFTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/19371515,FEATURED,147084-10-4,No CAS info,COMPOUND,YES,YES,YES
ALCLOMETASONE,ALCLOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311000,FEATURED,"67452-97-5, 66734-13-2",No CAS info,COMPOUND,YES,YES,YES
ALDESLEUKIN,ALDESLEUKIN,https://pubchem.ncbi.nlm.nih.gov/compound/Aldesleukin,FEATURED,110942-02-4,119913-24-5,COMPOUND,MISSING,YES,YES
ALDIOXA,ALDIOXA,https://pubchem.ncbi.nlm.nih.gov/compound/16683101,FEATURED,5579-81-7,"12125-29-0, 2015-24-9, 52931-97-2",COMPOUND,NO,YES,YES
ALECTINIB,ALECTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/49806720,FEATURED,1256580-46-7,1416163-60-4,COMPOUND,YES,YES,YES
ALEFACEPT,ALEFACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Alefacept,FEATURED,222535-22-0,No CAS info,COMPOUND,MISSING,YES,YES
ALEMTUZUMAB,ALEMTUZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Alemtuzumab,FEATURED,216503-57-0,"126775-97-1, 478159-77-2, 727728-72-5",COMPOUND,MISSING,YES,YES
ALENDRONIC ACID,ALENDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2088,FEATURED,66376-36-1,No CAS info,COMPOUND,YES,YES,YES
ALFENTANIL,ALFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/51263,FEATURED,71195-58-9,No CAS info,COMPOUND,YES,YES,YES
ALFUZOSIN,ALFUZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/2092,FEATURED,81403-80-7,"128707-53-9, 86163-78-2",COMPOUND,YES,YES,YES
ALGINIC ACID,ALGINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/Alginic%20Acid,FEATURED,9005-32-7,"1444006-48-7, 2010157-07-8, 210888-24-7, 545434-56-8, 865838-47-7, 865838-48-8",COMPOUND,MISSING,YES,YES
ALGLUCERASE,ALGLUCERASE,https://pubchem.ncbi.nlm.nih.gov/substance/472422781,RELEVANT,143003-46-7,No CAS info,SUBSTANCE,YES,YES,YES
ALGLUCOSIDASE ALFA,ALGLUCOSIDASE ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Alglucosidase%20Alfa,FEATURED,420784-05-0,No CAS info,COMPOUND,MISSING,YES,YES
ALIROCUMAB,ALIROCUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Alirocumab,FEATURED,1245916-14-6,No CAS info,COMPOUND,MISSING,YES,YES
ALISKIREN,ALISKIREN,https://pubchem.ncbi.nlm.nih.gov/compound/5493444,FEATURED,173334-57-1,"401809-63-0, 957114-21-5",COMPOUND,YES,YES,YES
ALITRETINOIN,ALITRETINOIN,https://pubchem.ncbi.nlm.nih.gov/compound/449171,FEATURED,5300-03-8,No CAS info,COMPOUND,YES,YES,YES
ALKYL SULFONATES,ALKYL SULFONATES,https://pubchem.ncbi.nlm.nih.gov/compound/2478,RELEVANT,"55-98-1, 729-99-7, 55-93-6, 29166-53-8",No CAS info,COMPOUND,NO,NO,NO
ALLANTOIN,ALLANTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/204,FEATURED,97-59-6,"37305-69-4, 5377-33-3, 58308-55-7",COMPOUND,YES,YES,YES
ALLIUM CEPA,ALLIUM CEPA,https://pubchem.ncbi.nlm.nih.gov/substance/482025683,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ALLIUM SATIVUM,ALLIUM SATIVUM,https://pubchem.ncbi.nlm.nih.gov/substance/103049314,RELEVANT,No CAS info,No CAS info,SUBSTANCE,YES,YES,YES
ALLOPURINOL,ALLOPURINOL,https://pubchem.ncbi.nlm.nih.gov/compound/135401907,FEATURED,"315-30-0, 184789-03-5, 691008-24-9, 9002-17-9, 12771-69-6","184856-42-6, 22767-92-6, 39464-14-7",COMPOUND,YES,YES,YES
ALLYL ISOTHIOCYANATE,ALLYL ISOTHIOCYANATE,https://pubchem.ncbi.nlm.nih.gov/compound/5971,FEATURED,"57-06-7, 8007-40-7","1001911-93-8, 107231-30-1, 50888-64-7, 50978-48-8, 58391-87-0, 107231-30-1, 50888-64-7, 58391-87-0",COMPOUND,YES,YES,YES
ALMOTRIPTAN,ALMOTRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/123606,FEATURED,"154323-57-6, 181183-52-8",No CAS info,COMPOUND,YES,YES,YES
ALOE AFRICANA,ALOE AFRICANA,https://pubchem.ncbi.nlm.nih.gov/compound/Aloe%20africana%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
ALOE BARBADENSIS,ALOE BARBADENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/12305761,RELEVANT,"1415-73-2, 8015-61-0, 5133-19-7","10361-17-8, 11019-96-8, 25429-08-7, 31017-11-5, 31048-97-2, 5133-19-7, 11019-96-8, 20226-90-8, 25429-08-7, 31017-11-5, 31048-97-2, 73649-92-0",COMPOUND,NO,NO,NO
ALOGLIPTIN,ALOGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/11450633,FEATURED,"850649-61-5, 1246610-75-2",No CAS info,COMPOUND,YES,YES,YES
ALOSETRON,ALOSETRON,https://pubchem.ncbi.nlm.nih.gov/compound/2099,FEATURED,122852-42-0,No CAS info,COMPOUND,YES,YES,YES
ALPHA-GALACTOSIDASE,ALPHA-GALACTOSIDASE,https://pubchem.ncbi.nlm.nih.gov/compound/82000,RELEVANT,7493-95-0,No CAS info,COMPOUND,NO,NO,NO
ALPHA AMYLASE,ALPHA AMYLASE,https://pubchem.ncbi.nlm.nih.gov/compound/192826,RELEVANT,"9005-82-7, 6401-81-6, 1109-28-0","7482-74-8, 37243-82-6, 9051-21-2, 9060-22-4",COMPOUND,NO,NO,NO
ALPHA CAROTENE,ALPHA CAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/6419725,FEATURED,7488-99-5,"24319-81-1, 432-70-2",COMPOUND,NO,NO,NO
ALPINA GALANGA,ALPINA GALANGA,https://pubmed.ncbi.nlm.nih.gov/13493119,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
ALPINIA OFFICINARUM,ALPINIA OFFICINARUM,https://pubchem.ncbi.nlm.nih.gov/substance/482043081,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ALPRAZOLAM,ALPRAZOLAM,https://pubchem.ncbi.nlm.nih.gov/compound/2118,FEATURED,28981-97-7,No CAS info,COMPOUND,YES,YES,YES
ALPROSTADIL,ALPROSTADIL,https://pubchem.ncbi.nlm.nih.gov/compound/5280723,FEATURED,745-65-3,"22299-37-2, 50-83-9, 50865-30-0",COMPOUND,YES,YES,YES
ALTEPLASE,ALTEPLASE,https://pubchem.ncbi.nlm.nih.gov/compound/Alteplase,FEATURED,"105857-23-6, 105913-11-9",93928-26-8,COMPOUND,MISSING,YES,YES
ALTHAEA OFFICINALIS,ALTHAEA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924420,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
ALTRETAMINE,ALTRETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2123,FEATURED,645-05-6,No CAS info,COMPOUND,YES,YES,YES
ALUMINIUM,ALUMINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5359268,FEATURED,"7429-90-5, 10043-67-1, 91728-14-2","1107613-92-2, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 182260-45-3, 1826890-06-5, 185464-37-3, 1946759-18-7, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 257888-99-6, 2701539-61-7, 298688-47-8, 349608-51-1, 37202-64-5, 39302-71-1, 39332-62-2, 477951-22-7, 80341-19-1, 91728-14-2, 934749-46-9, 131315-49-6, 2242538-56-1, 1107613-92-2, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 182260-45-3, 1826890-06-5, 185464-37-3, 1946759-18-7, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 257888-99-6, 2701539-61-7, 2758176-71-3, 2826961-24-2, 2832056-54-7, 2923573-53-7, 2923573-54-8, 2923573-55-9, 2924823-56-1, 298688-47-8, 349608-51-1, 37202-64-5, 39302-71-1, 39332-62-2, 477951-22-7, 80341-19-1, 91728-14-2, 934749-46-9, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 182260-45-3, 185464-37-3, 257888-99-6, 298688-47-8, 37202-64-5, 39302-71-1, 39332-62-2, 80341-19-1, 91728-14-2, 934749-46-9",COMPOUND,YES,YES,YES
ALUMINIUM AND MAGNESIUM,ALUMINIUM AND MAGNESIUM,https://pubchem.ncbi.nlm.nih.gov/compound/71586775,RELEVANT,"110070-78-5, 1318-93-0, 1302-78-9","111744-70-8, 12199-64-3, 12414-99-2, 12656-86-9, 51811-27-9, 61029-13-8, 61711-53-3, 64418-14-0, 67479-91-8, 110070-78-5",COMPOUND,NO,NO,NO
ALVIMOPAN,ALVIMOPAN,https://pubchem.ncbi.nlm.nih.gov/compound/5488548,FEATURED,"156053-89-3, 170098-38-1",No CAS info,COMPOUND,YES,YES,YES
AMANTADINE,AMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2130,FEATURED,768-94-5,744952-70-3,COMPOUND,YES,YES,YES
AMBENONIUM,AMBENONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2131,FEATURED,7648-98-8,No CAS info,COMPOUND,YES,YES,YES
AMBRISENTAN,AMBRISENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/6918493,FEATURED,177036-94-1,No CAS info,COMPOUND,YES,YES,YES
AMBROSIA ARTEMISIFOLIA,AMBROSIA ARTEMISIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/483929581,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
AMBROSIA PSILOSTACHYA,AMBROSIA PSILOSTACHYA,https://pubchem.ncbi.nlm.nih.gov/compound/Ambrosia%20psilostachya%20Pollen,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
AMCINONIDE,AMCINONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/443958,FEATURED,51022-69-6,No CAS info,COMPOUND,YES,YES,YES
AMFEPRAMONE,AMFEPRAMONE,https://pubchem.ncbi.nlm.nih.gov/compound/7029,FEATURED,"90-84-6, 134-80-5",No CAS info,COMPOUND,YES,YES,YES
AMFETAMINE,AMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007,FEATURED,"300-62-9, 2706-50-5, 60-15-1, 103-97-9","17108-96-2, 60-15-1, 96332-84-2, 28841-71-6, 405-41-4, 60-15-1, 96332-84-2",COMPOUND,YES,YES,YES
AMIFOSTINE,AMIFOSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2141,FEATURED,20537-88-6,53028-04-9,COMPOUND,YES,YES,YES
AMIKACIN,AMIKACIN,https://pubchem.ncbi.nlm.nih.gov/compound/37768,FEATURED,"37517-28-5, 39831-55-5","1079316-47-4, 108914-65-4, 110660-81-6, 110660-83-8, 111319-93-8, 38859-32-4, 37357-52-1, 1079316-47-4, 108914-65-4, 110660-83-8, 111319-93-8, 38859-32-4",COMPOUND,YES,YES,YES
AMILORIDE,AMILORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16231,FEATURED,"2609-46-3, 2016-88-8",No CAS info,COMPOUND,YES,YES,YES
AMINOACIDS,AMINOACIDS,https://pubchem.ncbi.nlm.nih.gov/substance/472419517,RELEVANT,2097132-02-8,No CAS info,SUBSTANCE,NO,MISSING,NO
AMINOACRIDINE,AMINOACRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/7019,FEATURED,90-45-9,148651-03-0,COMPOUND,YES,YES,YES
AMINOCAPROIC ACID,AMINOCAPROIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/564,FEATURED,"60-32-2, 1319-82-0","1153953-92-4, 87867-96-7, 93208-38-9, 87867-96-7, 93208-38-9",COMPOUND,YES,YES,YES
AMINOGLUTETHIMIDE,AMINOGLUTETHIMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2145,FEATURED,125-84-8,No CAS info,COMPOUND,YES,YES,YES
AMINOLEVULINIC ACID,AMINOLEVULINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/137,FEATURED,106-60-5,1354778-41-8,COMPOUND,YES,YES,YES
AMINOPHYLLINE,AMINOPHYLLINE,https://pubchem.ncbi.nlm.nih.gov/compound/9433,FEATURED,"317-34-0, 95646-60-9, 519-37-9","12767-26-9, 442519-87-1, 8013-40-9, 80186-94-3",COMPOUND,YES,YES,YES
AMINOPYRIDINE,AMINOPYRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/10439,FEATURED,"504-29-0, 26445-05-6, 24843-39-8","102769-74-4, 2222571-76-6, 29212-31-5, 45505-67-7, 102769-74-4, 29212-31-5, 45505-67-7",COMPOUND,YES,YES,YES
AMINOSALICYLIC ACID,AMINOSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4649,FEATURED,65-49-6,2220148-96-7,COMPOUND,YES,YES,YES
