Parsed,Link,Result Type
ALPINIA OFFICINARUM,https://pubchem.ncbi.nlm.nih.gov/substance/482043081,RELEVANT
ALPRAZOLAM,https://pubchem.ncbi.nlm.nih.gov/compound/2118,FEATURED
ALPROSTADIL,https://pubchem.ncbi.nlm.nih.gov/compound/5280723,FEATURED
ALTEPLASE,https://pubchem.ncbi.nlm.nih.gov/compound/Alteplase,FEATURED
ALTHAEA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924420,RELEVANT
ALTRETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2123,FEATURED
ALUMINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5359268,FEATURED
ALUMINIUM AND MAGNESIUM,https://pubchem.ncbi.nlm.nih.gov/compound/71586775,RELEVANT
ALVIMOPAN,https://pubchem.ncbi.nlm.nih.gov/compound/5488548,FEATURED
AMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2130,FEATURED
AMBENONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2131,FEATURED
AMBRISENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/6918493,FEATURED
AMBROSIA ARTEMISIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/483929581,RELEVANT
AMBROSIA PSILOSTACHYA,https://pubchem.ncbi.nlm.nih.gov/compound/Ambrosia%20psilostachya%20Pollen,FEATURED
AMCINONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/443958,FEATURED
AMFEPRAMONE,https://pubchem.ncbi.nlm.nih.gov/compound/7029,FEATURED
AMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007,FEATURED
AMIFOSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2141,FEATURED
AMIKACIN,https://pubchem.ncbi.nlm.nih.gov/compound/37768,FEATURED
AMILORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16231,FEATURED
AMINOACIDS,https://pubchem.ncbi.nlm.nih.gov/substance/472419517,RELEVANT
AMINOACRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/7019,FEATURED
AMINOCAPROIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/564,FEATURED
AMINOGLUTETHIMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2145,FEATURED
AMINOLEVULINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/137,FEATURED
AMINOPHYLLINE,https://pubchem.ncbi.nlm.nih.gov/compound/9433,FEATURED
AMINOPYRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/10439,FEATURED
AMINOSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4649,FEATURED
AMIODARONE,https://pubchem.ncbi.nlm.nih.gov/compound/2157,FEATURED
AMITRIPTYLINE,https://pubchem.ncbi.nlm.nih.gov/compound/2160,FEATURED
AMLEXANOX,https://pubchem.ncbi.nlm.nih.gov/compound/2161,FEATURED
AMLODIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2162,FEATURED
AMMONIA,https://pubchem.ncbi.nlm.nih.gov/compound/222,FEATURED
AMMONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/223,FEATURED
AMOBARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2164,FEATURED
AMOXAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2170,FEATURED
AMOXICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/33613,FEATURED
AMPHETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007,FEATURED
AMPHOTERICIN B,https://pubchem.ncbi.nlm.nih.gov/compound/5280965,FEATURED
AMPICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/6249,FEATURED
AMPRENAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/65016,FEATURED
AMRINONE,https://pubchem.ncbi.nlm.nih.gov/compound/3698,FEATURED
AMYL NITRITE,https://pubchem.ncbi.nlm.nih.gov/compound/10026,FEATURED
ANAESTHETIC ETHER,https://pubchem.ncbi.nlm.nih.gov/compound/3283,FEATURED
ANAGRELIDE,https://pubchem.ncbi.nlm.nih.gov/compound/135409400,FEATURED
ANAKINRA,https://pubchem.ncbi.nlm.nih.gov/compound/Anakinra,FEATURED
ANANAS COMOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/482042678,RELEVANT
ANASTROZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/2187,RELEVANT
ANAS BARBARIAE,https://pubchem.ncbi.nlm.nih.gov/substance/482038726,RELEVANT
ANDEXANET ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Andexanet%20Alfa,FEATURED
ANEMONA PULSATILLA,N/A,Not Found
ANETHUM GRAVEOLENS,https://pubchem.ncbi.nlm.nih.gov/substance/482042003,RELEVANT
ANGELICA ARCHANGELICA,https://pubchem.ncbi.nlm.nih.gov/compound/68079,RELEVANT
ANGELICA POLIMORPHA,N/A,Not Found
ANGIOTENSIN 2 (HUMAN),https://pubchem.ncbi.nlm.nih.gov/compound/3749,RELEVANT
ANIDULAFUNGIN,https://pubchem.ncbi.nlm.nih.gov/compound/166548,FEATURED
ANISINDIONE,https://pubchem.ncbi.nlm.nih.gov/compound/2197,FEATURED
ANISTREPLASE,https://pubchem.ncbi.nlm.nih.gov/substance/7978711,RELEVANT
ANTACIDS,https://pubchem.ncbi.nlm.nih.gov/compound/10112,RELEVANT
ANTAZOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/2200,FEATURED
ANTHEMIS NOBILIS,https://pubchem.ncbi.nlm.nih.gov/compound/Chamaemelum%20nobile%20whole,FEATURED
ANTHOXANTHUM ODORATUM,https://pubchem.ncbi.nlm.nih.gov/compound/Anthoxanthum%20odoratum%20whole,FEATURED
ANTI-ACNE SOAP,https://pubchem.ncbi.nlm.nih.gov/compound/338,RELEVANT
ANTI-PARASITIC,https://pubchem.ncbi.nlm.nih.gov/compound/138911340,RELEVANT
ANTI-PSORIASIS,https://pubchem.ncbi.nlm.nih.gov/compound/338,RELEVANT
ANTIFLATULENTS,https://pubmed.ncbi.nlm.nih.gov/21337584,RELEVANT
ANTIFUNGAL,https://pubchem.ncbi.nlm.nih.gov/compound/7628,RELEVANT
ANTIHISTAMINES,https://pubchem.ncbi.nlm.nih.gov/compound/3100,RELEVANT
ANTIMONY,https://pubchem.ncbi.nlm.nih.gov/compound/5354495,FEATURED
ANTIMONY SULPHURATED,https://pubchem.ncbi.nlm.nih.gov/patent/MA-18478-A1,RELEVANT
ANTISEPTIC/DISINFECTANT DEODORANTS,N/A,Not Found
ANTISEPTIC/DISINFECTANT SOLUTIONS ANDDETERGENTS,N/A,Not Found
ANTITHROMBIN ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/486329172,RELEVANT
ANTITHROMBIN III,https://pubchem.ncbi.nlm.nih.gov/substance/472422796,RELEVANT
APALUTAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/24872560,FEATURED
APHANIZOMENON FLO AQUAE,N/A,Not Found
APIS MELLIFICA,https://pubchem.ncbi.nlm.nih.gov/substance/482042350,RELEVANT
APIUM GRAVEOLENS,https://pubchem.ncbi.nlm.nih.gov/substance/482042289,RELEVANT
APIXABAN,https://pubchem.ncbi.nlm.nih.gov/compound/10182969,FEATURED
APLIGRAF,https://pubmed.ncbi.nlm.nih.gov/10925183,RELEVANT
APOAEQUORIN,https://pubchem.ncbi.nlm.nih.gov/substance/381128410,RELEVANT
APOMORPHINE,https://pubchem.ncbi.nlm.nih.gov/compound/6005,FEATURED
APPLE VINEGAR,https://pubchem.ncbi.nlm.nih.gov/compound/338,RELEVANT
APRACLONIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/2216,FEATURED
APREMILAST,https://pubchem.ncbi.nlm.nih.gov/compound/11561674,FEATURED
APREPITANT,https://pubchem.ncbi.nlm.nih.gov/compound/135413536,FEATURED
APROTININ,https://pubchem.ncbi.nlm.nih.gov/compound/Aprotinin,FEATURED
ARABINOGALACTAN,https://pubchem.ncbi.nlm.nih.gov/compound/24847856,FEATURED
ARACHIS HYPOGAEA,https://pubchem.ncbi.nlm.nih.gov/compound/Peanut,FEATURED
ARALIA ELATA,https://pubchem.ncbi.nlm.nih.gov/compound/Aralia%20elata%20var.%20elata%20whole,FEATURED
ARALIA RACEMOSA,https://pubchem.ncbi.nlm.nih.gov/compound/Aralia%20racemosa%20root,FEATURED
ARANEUS DIADEMATUS,https://pubchem.ncbi.nlm.nih.gov/compound/Araneus%20Diadematus,FEATURED
ARCTIUM LAPPA,https://pubchem.ncbi.nlm.nih.gov/substance/482041675,RELEVANT
ARCTOSTAPHYLOS UVA-URSI,https://pubchem.ncbi.nlm.nih.gov/substance/482041741,RELEVANT
ARDEPARIN SODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Ardeparin%20Sodium,FEATURED
ARFORMOTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/3083544,FEATURED
ARGANIA SPINOSA,https://pubchem.ncbi.nlm.nih.gov/substance/482041767,RELEVANT
ARGATROBAN,https://pubchem.ncbi.nlm.nih.gov/compound/92722,FEATURED
ARGININE,https://pubchem.ncbi.nlm.nih.gov/compound/6322,FEATURED
ARIPIPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/60795,RELEVANT
ARIPIPRAZOLE LAUROXIL,https://pubchem.ncbi.nlm.nih.gov/compound/49831411,FEATURED
ARMODAFINIL,https://pubchem.ncbi.nlm.nih.gov/compound/9690109,FEATURED
ARNICA MONTANA,https://pubchem.ncbi.nlm.nih.gov/substance/483930675,RELEVANT
ARSENIC,https://pubchem.ncbi.nlm.nih.gov/compound/5359596,FEATURED
ARTEMETHER,https://pubchem.ncbi.nlm.nih.gov/compound/68911,FEATURED
ARTEMISIA ABSINTHIUM,https://pubchem.ncbi.nlm.nih.gov/compound/442138,RELEVANT
ARTICAINE,https://pubchem.ncbi.nlm.nih.gov/compound/32170,FEATURED
ARTIFICIAL SWEETENERS,https://pubchem.ncbi.nlm.nih.gov/compound/5235,RELEVANT
ASCOPHYLLUM NODOSUM,https://pubchem.ncbi.nlm.nih.gov/compound/Ascophyllum%20nodosum,FEATURED
ASCORBIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/54670067,FEATURED
ASENAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/3036780,FEATURED
ASFOTASE ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Asfotase%20Alfa,FEATURED
ASPALANTHUS LINEARIS,N/A,Not Found
ASPARAGINASE,https://pubchem.ncbi.nlm.nih.gov/compound/Asparaginase,FEATURED
ASPARAGUS RACEMOSUS,https://pubchem.ncbi.nlm.nih.gov/compound/Asparagus%20racemosus%20whole,FEATURED
ASPARTAME,https://pubchem.ncbi.nlm.nih.gov/compound/134601,FEATURED
ASPARTIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/5960,FEATURED
ASTAXANTHIN,https://pubchem.ncbi.nlm.nih.gov/compound/5281224,FEATURED
ASTEMIZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/2247,FEATURED
ASTRAGALUS,https://pubchem.ncbi.nlm.nih.gov/compound/5281708,RELEVANT
ATAZANAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/148192,FEATURED
ATENOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/2249,FEATURED
ATEZOLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Atezolizumab,FEATURED
ATOMOXETINE,https://pubchem.ncbi.nlm.nih.gov/compound/54841,FEATURED
ATORVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/60823,FEATURED
ATOVAQUONE,https://pubchem.ncbi.nlm.nih.gov/compound/Atovaquone,FEATURED
ATRACURIUM BESILATE,https://pubchem.ncbi.nlm.nih.gov/compound/47320,FEATURED
ATROPA BELLADONNA,https://pubchem.ncbi.nlm.nih.gov/compound/Atropa%20Belladonna,FEATURED
ATROPINE,https://pubchem.ncbi.nlm.nih.gov/compound/Atropine,FEATURED
ATTAPULGITE,https://pubchem.ncbi.nlm.nih.gov/compound/Attapulgite,FEATURED
AURANOFIN,https://pubchem.ncbi.nlm.nih.gov/compound/24199313,FEATURED
AURANTIIN,https://pubchem.ncbi.nlm.nih.gov/compound/442428,FEATURED
AUROTHIOGLUCOSE,https://pubchem.ncbi.nlm.nih.gov/compound/454937,FEATURED
AUROTHIOMALIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/422786,FEATURED
AVANAFIL,https://pubchem.ncbi.nlm.nih.gov/compound/9869929,FEATURED
AVATROMBOPAG,https://pubchem.ncbi.nlm.nih.gov/compound/9852519,FEATURED
AVELUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Avelumab,FEATURED
AVENA SATIVA,https://pubchem.ncbi.nlm.nih.gov/substance/483932520,RELEVANT
AVIBACTAM,https://pubchem.ncbi.nlm.nih.gov/compound/9835049,FEATURED
AVOBENZONE,https://pubchem.ncbi.nlm.nih.gov/compound/51040,FEATURED
AXITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/6450551,FEATURED
AZACITIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/9444,FEATURED
AZADIRACHTA INDICA,https://pubchem.ncbi.nlm.nih.gov/compound/12313376,RELEVANT
AZATADINE,https://pubchem.ncbi.nlm.nih.gov/compound/19861,FEATURED
AZATHIOPRINE,https://pubchem.ncbi.nlm.nih.gov/compound/2265,FEATURED
AZELAIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2266,FEATURED
AZELASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2267,FEATURED
AZILSARTAN MEDOXOMIL,https://pubchem.ncbi.nlm.nih.gov/compound/135409642,FEATURED
AZITHROMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/447043,FEATURED
AZTREONAM,https://pubchem.ncbi.nlm.nih.gov/compound/5742832,FEATURED
B>-SITOSTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/222284,RELEVANT
BABY CREAMS,https://pubmed.ncbi.nlm.nih.gov/17309372,RELEVANT
BABY LOTION,https://pubchem.ncbi.nlm.nih.gov/compound/702,RELEVANT
BABY POWDER (TALC),https://pubmed.ncbi.nlm.nih.gov/860156,RELEVANT
BABY SHAMPOOS,https://pubchem.ncbi.nlm.nih.gov/compound/5362487,RELEVANT
BABY SOAPS,https://pubmed.ncbi.nlm.nih.gov/20487658,RELEVANT
BACILLUS COAGULANS,https://pubchem.ncbi.nlm.nih.gov/compound/Bacillus%20coagulans,FEATURED
BACITRACIN,https://pubchem.ncbi.nlm.nih.gov/compound/Bacitracin,FEATURED
BACLOFEN,https://pubchem.ncbi.nlm.nih.gov/compound/2284,FEATURED
BACOPA MONIERI,https://pubmed.ncbi.nlm.nih.gov/29142420,RELEVANT
BALOXAVIR MARBOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/124081896,FEATURED
BALSALAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Balsalazide,FEATURED
BAMBUSA,https://pubchem.ncbi.nlm.nih.gov/substance/482040735,RELEVANT
BANDAGES,https://pubchem.ncbi.nlm.nih.gov/bioassay/370922,RELEVANT
BARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2294,FEATURED
BARICITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/44205240,FEATURED
BARIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5355457,FEATURED
BAROSMA BETULINA,https://pubchem.ncbi.nlm.nih.gov/substance/482043156,RELEVANT
BASILIXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Basiliximab,FEATURED
BATH OIL,https://pubchem.ncbi.nlm.nih.gov/substance/482028861,RELEVANT
BAZEDOXIFENE,https://pubchem.ncbi.nlm.nih.gov/compound/154257,FEATURED
BECAPLERMIN,https://pubchem.ncbi.nlm.nih.gov/compound/Becaplermin,FEATURED
BECLOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/20469,FEATURED
BEDAQUILINE,https://pubchem.ncbi.nlm.nih.gov/compound/5388906,FEATURED
BELATACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Belatacept,FEATURED
BELIMUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Belimumab,FEATURED
BELINOSTAT,https://pubchem.ncbi.nlm.nih.gov/compound/6918638,FEATURED
BELLIS,https://pubchem.ncbi.nlm.nih.gov/substance/482040247,RELEVANT
BENAZEPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/5362124,FEATURED
BENDAMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/65628,FEATURED
BENDROFLUMETHIAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2315,FEATURED
BENRALIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Benralizumab,FEATURED
BENTONITE,https://pubchem.ncbi.nlm.nih.gov/compound/517273,FEATURED
BENTOQUATAM,https://pubchem.ncbi.nlm.nih.gov/compound/Bentoquatam,FEATURED
BENZALKONIUM CHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/244,RELEVANT
BENZATROPINE,https://pubchem.ncbi.nlm.nih.gov/compound/Benztropine,FEATURED
BENZETHONIUM CHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/8478,FEATURED
BENZOCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2337,RELEVANT
BENZOIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/243,FEATURED
BENZONATATE,https://pubchem.ncbi.nlm.nih.gov/compound/7699,FEATURED
BENZOPHENONE,https://pubchem.ncbi.nlm.nih.gov/compound/3102,FEATURED
BENZOXIQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/6855,FEATURED
BENZOYL PEROXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/7187,FEATURED
BENZPHETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/5311017,FEATURED
BENZYL ALCOHOL,https://pubchem.ncbi.nlm.nih.gov/compound/244,FEATURED
BENZYL BENZOATE,https://pubchem.ncbi.nlm.nih.gov/compound/2345,FEATURED
BEPOTASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/164522,FEATURED
BEPRIDIL,https://pubchem.ncbi.nlm.nih.gov/compound/2351,FEATURED
BERACTANT,https://pubchem.ncbi.nlm.nih.gov/compound/Beractant,FEATURED
BERBERIS VULGARIS,https://pubchem.ncbi.nlm.nih.gov/compound/Berberis%20Vulgaris%20Root%20Bark,FEATURED
BESIFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/10178705,FEATURED
BETACAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/5280489,FEATURED
BETAHISTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2366,FEATURED
BETAINE,https://pubchem.ncbi.nlm.nih.gov/compound/247,FEATURED
