Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
BIMATOPROST,BIMATOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/5311027,FEATURED,155206-00-1,267244-98-4,COMPOUND,YES,YES,YES
BIOTIN,BIOTIN,https://pubchem.ncbi.nlm.nih.gov/compound/171548,FEATURED,"58-85-5, 56846-45-8","15720-24-8, 22879-79-4, 3672-05-7, 58073-87-3",COMPOUND,YES,YES,YES
BLEOMYCIN,BLEOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/5360373,FEATURED,11056-06-7,"1400-95-9, 37208-04-1, 37293-16-6, 37353-43-8",COMPOUND,YES,YES,YES
BORTEZOMIB,BORTEZOMIB,https://pubchem.ncbi.nlm.nih.gov/compound/387447,FEATURED,179324-69-7,"197730-97-5, 1610526-91-4",COMPOUND,YES,YES,YES
BOSENTAN,BOSENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/104865,FEATURED,147536-97-8,174227-18-0,COMPOUND,YES,YES,YES
BRIGATINIB,BRIGATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/68165256,FEATURED,1197953-54-0,"1350848-43-9, 1574359-10-6",COMPOUND,YES,YES,YES
BROMINE,BROMINE,https://pubchem.ncbi.nlm.nih.gov/compound/24408,FEATURED,7726-95-6,23724-81-4,COMPOUND,YES,YES,YES
BROMPHENIRAMINE,BROMPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6834,FEATURED,86-22-6,"156428-33-0, 32188-07-1, 32188-07-1",COMPOUND,YES,YES,YES
BUPROPION,BUPROPION,https://pubchem.ncbi.nlm.nih.gov/compound/444,FEATURED,"34911-55-2, 144445-76-1, 144445-75-0, 34841-39-9",34841-39-9,COMPOUND,YES,YES,YES
BUTOCONAZOLE,BUTOCONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/47472,FEATURED,"64872-76-0, 64872-77-1","67085-13-6, 85496-23-7, 85496-23-7",COMPOUND,YES,YES,YES
CABAZITAXEL,CABAZITAXEL,https://pubchem.ncbi.nlm.nih.gov/compound/9854073,FEATURED,183133-96-2,890654-44-1,COMPOUND,YES,YES,YES
CALCIPOTRIOL,CALCIPOTRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5288783,FEATURED,"112965-21-6, 112828-00-9",112828-00-9,COMPOUND,YES,YES,YES
CALCIUM,CALCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5460341,FEATURED,7440-70-2,8047-59-4,COMPOUND,YES,YES,YES
CALFACTANT,CALFACTANT,https://pubchem.ncbi.nlm.nih.gov/compound/Calfactant,FEATURED,"183325-78-2, 151437-98-8",151437-98-8,COMPOUND,MISSING,YES,YES
CANNABIDIOL,CANNABIDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/644019,FEATURED,"13956-29-1, 3556-78-3","35542-48-4, 18436-46-9, 20547-66-4, 521-37-9",COMPOUND,YES,YES,YES
CANTHARIDES,CANTHARIDES,https://pubchem.ncbi.nlm.nih.gov/compound/5944,RELEVANT,56-25-7,1351357-43-1,COMPOUND,NO,YES,YES
CANTHARIDIN,CANTHARIDIN,https://pubchem.ncbi.nlm.nih.gov/compound/5944,FEATURED,56-25-7,1351357-43-1,COMPOUND,YES,YES,YES
CAPECITABINE,CAPECITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/60953,FEATURED,154361-50-9,"158798-73-3, 958887-39-3",COMPOUND,YES,YES,YES
CAPSAICIN,CAPSAICIN,https://pubchem.ncbi.nlm.nih.gov/compound/1548943,FEATURED,404-86-4,912457-62-6,COMPOUND,YES,YES,YES
CARBIDOPA,CARBIDOPA,https://pubchem.ncbi.nlm.nih.gov/compound/34359,FEATURED,"28860-95-9, 38821-49-7","27925-91-3, 31823-41-3",COMPOUND,YES,YES,YES
CARBINOXAMINE,CARBINOXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2564,FEATURED,486-16-8,59811-38-0,COMPOUND,YES,YES,YES
CARIPRAZINE,CARIPRAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/Cariprazine,FEATURED,839712-12-8,955400-75-6,COMPOUND,MISSING,YES,YES
CARISOPRODOL,CARISOPRODOL,https://pubchem.ncbi.nlm.nih.gov/compound/2576,FEATURED,78-44-4,8053-63-2,COMPOUND,YES,YES,YES
CARMUSTINE,CARMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2578,FEATURED,154-93-8,"1159711-15-5, 1191292-23-5",COMPOUND,YES,YES,YES
CARVEDILOL,CARVEDILOL,https://pubchem.ncbi.nlm.nih.gov/compound/2585,FEATURED,72956-09-3,107741-96-8,COMPOUND,YES,YES,YES
CEFOPERAZONE,CEFOPERAZONE,https://pubchem.ncbi.nlm.nih.gov/compound/44187,FEATURED,"62893-19-0, 62893-20-3, 113826-44-1",72448-63-6,COMPOUND,YES,YES,YES
CEFPROZIL,CEFPROZIL,https://pubchem.ncbi.nlm.nih.gov/compound/5281006,FEATURED,"92676-86-3, 92665-29-7",136427-56-0,COMPOUND,YES,YES,YES
CEFUROXIME,CEFUROXIME,https://pubchem.ncbi.nlm.nih.gov/compound/5479529,FEATURED,55268-75-2,153012-39-6,COMPOUND,YES,YES,YES
CELECOXIB,CELECOXIB,https://pubchem.ncbi.nlm.nih.gov/compound/2662,FEATURED,169590-42-5,"184007-95-2, 194044-54-7",COMPOUND,YES,YES,YES
CELLULOSE,CELLULOSE,https://pubchem.ncbi.nlm.nih.gov/compound/16211032,FEATURED,"9004-34-6, 99331-82-5, 9013-34-7","1161712-52-2, 12656-52-9, 137261-76-8, 1374408-52-2, 152231-69-1, 1621420-37-8, 1873279-80-1, 189398-86-5, 196316-75-3, 209533-95-9, 2095812-59-0, 2243384-02-1, 2243384-04-3, 231290-83-8, 2409008-33-7, 2618568-52-6, 2799647-31-5, 324745-49-5, 358787-62-9, 39394-43-9, 51395-76-7, 58968-67-5, 61991-21-7, 61991-22-8, 67016-75-5, 67016-76-6, 68073-05-2, 70225-79-5, 74623-16-8, 75398-83-3, 77907-70-1, 84503-75-3, 89468-66-6, 9012-19-5, 9037-50-7, 906542-14-1, 9076-30-6, 99331-82-5",COMPOUND,YES,YES,YES
CEMIPLIMAB,CEMIPLIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Cemiplimab,FEATURED,1801342-60-8,1859072-60-8,COMPOUND,MISSING,YES,YES
CERITINIB,CERITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/57379345,FEATURED,1032900-25-6,1431456-10-8,COMPOUND,YES,YES,YES
CERIUM,CERIUM,https://pubchem.ncbi.nlm.nih.gov/compound/23974,FEATURED,"7440-45-1, 13864-02-3","110123-49-4, 196959-41-8",COMPOUND,YES,YES,YES
CETALKONIUM,CETALKONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/31203,FEATURED,10328-34-4,"21396-54-3, 51895-89-7",COMPOUND,YES,YES,YES
CHARCOAL,CHARCOAL,https://pubchem.ncbi.nlm.nih.gov/compound/Charcoal,FEATURED,16291-96-6,"1333-85-3, 944340-46-9, 944340-46-9",COMPOUND,MISSING,YES,YES
CHLOROQUINE,CHLOROQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/2719,FEATURED,54-05-7,56598-66-4,COMPOUND,YES,YES,YES
CHOLINE,CHOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/305,FEATURED,"62-49-7, 5413-08-1","139741-81-4, 2087491-45-8, 139741-81-4, 2072809-41-5, 2087491-45-8",COMPOUND,YES,YES,YES
CILOSTAZOL,CILOSTAZOL,https://pubchem.ncbi.nlm.nih.gov/compound/2754,FEATURED,73963-72-1,89332-50-3,COMPOUND,YES,YES,YES
CINOXATE,CINOXATE,https://pubchem.ncbi.nlm.nih.gov/compound/5373773,FEATURED,"104-28-9, 83834-60-0",1322-65-2,COMPOUND,YES,YES,YES
CIPROFLOXACIN,CIPROFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/2764,FEATURED,85721-33-1,"1234562-12-9, 189257-90-7",COMPOUND,YES,YES,YES
CISAPRIDE,CISAPRIDE,https://pubchem.ncbi.nlm.nih.gov/compound/6917698,FEATURED,"81098-60-4, 260779-88-2",86718-68-5,COMPOUND,YES,YES,YES
CLADRIBINE,CLADRIBINE,https://pubchem.ncbi.nlm.nih.gov/compound/20279,FEATURED,4291-63-8,24757-90-2,COMPOUND,YES,YES,YES
CLIOQUINOL,CLIOQUINOL,https://pubchem.ncbi.nlm.nih.gov/compound/2788,FEATURED,130-26-7,"22112-03-4, 736176-41-3, 736176-41-3",COMPOUND,YES,YES,YES
CLOMIPRAMINE,CLOMIPRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2801,FEATURED,303-49-1,83162-38-3,COMPOUND,YES,YES,YES
CLONAZEPAM,CLONAZEPAM,https://pubchem.ncbi.nlm.nih.gov/compound/2802,FEATURED,1622-61-3,106955-87-7,COMPOUND,YES,YES,YES
CLONIDINE,CLONIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/2803,FEATURED,4205-90-7,57066-25-8,COMPOUND,YES,YES,YES
CLOZAPINE,CLOZAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/135398737,FEATURED,"5786-21-0, 1333667-72-3",1333667-72-3,COMPOUND,YES,YES,YES
COBIMETINIB,COBIMETINIB,https://pubchem.ncbi.nlm.nih.gov/compound/16222096,FEATURED,934660-93-2,1029872-29-4,COMPOUND,YES,YES,YES
COLCHICINE,COLCHICINE,https://pubchem.ncbi.nlm.nih.gov/compound/6167,FEATURED,64-86-8,"30512-31-3, 5843-86-7, 30512-31-3",COMPOUND,YES,YES,YES
COLLAGENASE,COLLAGENASE,https://pubchem.ncbi.nlm.nih.gov/compound/Collagenase,FEATURED,9001-12-1,"106043-70-3, 308064-64-4, 39433-96-0",COMPOUND,MISSING,YES,YES
CORBADRINE,CORBADRINE,https://pubchem.ncbi.nlm.nih.gov/compound/164739,FEATURED,"829-74-3, 74812-63-8","13725-11-6, 16906-83-5, 34535-70-1",COMPOUND,YES,YES,YES
CORTICORELIN,CORTICORELIN,https://pubchem.ncbi.nlm.nih.gov/compound/16186200,FEATURED,86784-80-7,86297-72-5,COMPOUND,YES,YES,YES
CREATINE,CREATINE,https://pubchem.ncbi.nlm.nih.gov/compound/586,FEATURED,57-00-1,2087491-49-2,COMPOUND,YES,YES,YES
CRIZOTINIB,CRIZOTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/11626560,FEATURED,877399-52-5,912279-98-2,COMPOUND,YES,YES,YES
CYANOCOBALAMIN,CYANOCOBALAMIN,https://pubchem.ncbi.nlm.nih.gov/compound/5311498,FEATURED,"68-19-9, 13408-78-1","11037-08-4, 24436-34-8, 8023-26-5, 8039-03-0",COMPOUND,YES,YES,YES
CYCLANDELATE,CYCLANDELATE,https://pubchem.ncbi.nlm.nih.gov/compound/2893,FEATURED,456-59-7,"28283-32-1, 54110-27-9, 28283-32-1",COMPOUND,YES,YES,YES
DACARBAZINE,DACARBAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/135398738,FEATURED,4342-03-4,37626-23-6,COMPOUND,YES,YES,YES
DACOMITINIB,DACOMITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/11511120,FEATURED,1110813-31-4,1006885-28-4,COMPOUND,YES,YES,YES
DALBAVANCIN,DALBAVANCIN,https://pubchem.ncbi.nlm.nih.gov/compound/16134627,FEATURED,171500-79-1,247175-55-9,COMPOUND,YES,YES,YES
DANTRON,DANTRON,https://pubchem.ncbi.nlm.nih.gov/compound/2950,FEATURED,117-10-2,"32073-07-7, 343235-40-5",COMPOUND,YES,YES,YES
DAPSONE,DAPSONE,https://pubchem.ncbi.nlm.nih.gov/compound/2955,FEATURED,80-08-0,1246638-15-2,COMPOUND,YES,YES,YES
DASABUVIR,DASABUVIR,https://pubchem.ncbi.nlm.nih.gov/compound/56640146,FEATURED,1132935-63-7,1221573-79-0,COMPOUND,YES,YES,YES
DEFLAZACORT,DEFLAZACORT,https://pubchem.ncbi.nlm.nih.gov/compound/189821,FEATURED,14484-47-0,74712-90-6,COMPOUND,YES,YES,YES
DELAFLOXACIN,DELAFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/487101,FEATURED,189279-58-1,579508-20-6,COMPOUND,YES,YES,YES
DENOSUMAB,DENOSUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Denosumab,FEATURED,615258-40-7,847987-83-1,COMPOUND,MISSING,YES,YES
DEXPANTHENOL,DEXPANTHENOL,https://pubchem.ncbi.nlm.nih.gov/compound/131204,FEATURED,81-13-0,"1113-70-8, 17307-32-3, 50584-68-4, 17307-32-3",COMPOUND,YES,YES,YES
DEXTRAN,DEXTRAN,https://pubchem.ncbi.nlm.nih.gov/compound/4125253,FEATURED,9004-54-0,"11104-36-2, 11121-03-2, 12626-85-6, 128635-03-0, 1307300-43-1, 1415795-13-9, 37224-17-2, 60454-72-0, 86280-85-5, 9013-80-3, 9044-66-0, 911319-01-2",COMPOUND,YES,YES,YES
DEXTRIN,DEXTRIN,https://pubchem.ncbi.nlm.nih.gov/compound/62698,FEATURED,9004-53-9,"100041-56-3, 129290-56-8, 133925-38-9, 152232-07-0, 185829-47-4, 199015-70-8, 2186634-06-8, 256933-14-9, 2983451-46-1, 37265-05-7, 37265-06-8, 650604-25-4, 74347-35-6, 753470-74-5, 9072-45-1",COMPOUND,YES,YES,YES
DEXTROMETHORPHAN,DEXTROMETHORPHAN,https://pubchem.ncbi.nlm.nih.gov/compound/5360696,FEATURED,125-71-3,"18046-32-7, 32062-10-5, 1469752-79-1, 32062-10-5",COMPOUND,YES,YES,YES
DIAZOXIDE,DIAZOXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3019,FEATURED,364-98-7,1342899-70-0,COMPOUND,YES,YES,YES
DIHYDROXYALUMINIUM,DIHYDROXYALUMINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/16682987,RELEVANT,7047-84-9,3343-54-2,COMPOUND,NO,NO,NO
DIMENHYDRINATE,DIMENHYDRINATE,https://pubchem.ncbi.nlm.nih.gov/compound/10660,FEATURED,523-87-5,133294-22-1,COMPOUND,YES,YES,YES
DIMETHYLGLYCINE,DIMETHYLGLYCINE,https://pubchem.ncbi.nlm.nih.gov/compound/673,FEATURED,1118-68-9,780741-89-1,COMPOUND,YES,YES,YES
DIMETICONE,DIMETICONE,https://pubchem.ncbi.nlm.nih.gov/compound/24705,FEATURED,"107-51-7, 63148-62-9",1463470-58-7,COMPOUND,YES,YES,YES
DINUTUXIMAB,DINUTUXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Dinutuximab,FEATURED,"1363687-32-4, 1613303-02-8","339184-14-4, 1613303-02-8",COMPOUND,MISSING,YES,YES
DIOXYBENZONE,DIOXYBENZONE,https://pubchem.ncbi.nlm.nih.gov/compound/8569,FEATURED,131-53-3,186100-79-8,COMPOUND,YES,YES,YES
DIPROPHYLLINE,DIPROPHYLLINE,https://pubchem.ncbi.nlm.nih.gov/compound/3182,FEATURED,479-18-5,"52756-53-3, 68350-70-9, 68350-70-9",COMPOUND,YES,YES,YES
DISULFIRAM,DISULFIRAM,https://pubchem.ncbi.nlm.nih.gov/compound/3117,FEATURED,97-77-8,"11078-22-1, 155-01-1, 11078-22-1",COMPOUND,YES,YES,YES
DOBUTAMINE,DOBUTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/36811,FEATURED,34368-04-2,67230-43-7,COMPOUND,YES,YES,YES
DOLASETRON,DOLASETRON,https://pubchem.ncbi.nlm.nih.gov/compound/Dolasetron,FEATURED,115956-12-2,126126-98-5,COMPOUND,MISSING,YES,YES
DOLUTEGRAVIR,DOLUTEGRAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/54726191,FEATURED,1051375-16-6,1172581-47-3,COMPOUND,YES,YES,YES
DOXAZOSIN,DOXAZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/3157,FEATURED,74191-85-8,137888-77-8,COMPOUND,YES,YES,YES
DOXERCALCIFEROL,DOXERCALCIFEROL,https://pubchem.ncbi.nlm.nih.gov/compound/5281107,FEATURED,54573-75-0,"125285-48-5, 87649-67-0",COMPOUND,YES,YES,YES
DULAGLUTIDE,DULAGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Dulaglutide,FEATURED,923950-08-7,1198417-37-6,COMPOUND,MISSING,YES,YES
DURVALUMAB,DURVALUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Durvalumab,FEATURED,1428935-60-7,1493766-03-2,COMPOUND,MISSING,YES,YES
ECALLANTIDE,ECALLANTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Ecallantide,FEATURED,460738-38-9,750596-66-8,COMPOUND,MISSING,YES,YES
ECONAZOLE,ECONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3198,FEATURED,27220-47-9,68797-30-8,COMPOUND,YES,YES,YES
EDOXABAN,EDOXABAN,https://pubchem.ncbi.nlm.nih.gov/compound/10280735,FEATURED,480449-70-5,876652-15-2,COMPOUND,YES,YES,YES
EFALIZUMAB,EFALIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Efalizumab,FEATURED,214745-43-4,339155-58-7,COMPOUND,MISSING,YES,YES
ELBASVIR,ELBASVIR,https://pubchem.ncbi.nlm.nih.gov/compound/71661251,FEATURED,1370468-36-2,1444832-51-2,COMPOUND,YES,YES,YES
ELTROMBOPAG,ELTROMBOPAG,https://pubchem.ncbi.nlm.nih.gov/compound/Eltrombopag,FEATURED,496775-61-2,2097678-09-4,COMPOUND,MISSING,YES,YES
EMPAGLIFLOZIN,EMPAGLIFLOZIN,https://pubchem.ncbi.nlm.nih.gov/compound/11949646,FEATURED,864070-44-0,"1240076-01-0, 1314556-33-6",COMPOUND,YES,YES,YES
EMTRICITABINE,EMTRICITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/60877,FEATURED,"143491-57-0, 143491-54-7",145213-48-5,COMPOUND,YES,YES,YES
ENFUVIRTIDE,ENFUVIRTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16130199,FEATURED,159519-65-0,262434-79-7,COMPOUND,YES,YES,YES
ENTACAPONE,ENTACAPONE,https://pubchem.ncbi.nlm.nih.gov/compound/5281081,FEATURED,130929-57-6,116314-67-1,COMPOUND,YES,YES,YES
EPINASTINE,EPINASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/3241,FEATURED,80012-43-7,134507-59-8,COMPOUND,YES,YES,YES
EPIRUBICIN,EPIRUBICIN,https://pubchem.ncbi.nlm.nih.gov/compound/41867,FEATURED,56420-45-2,57918-25-9,COMPOUND,YES,YES,YES
EPOPROSTENOL,EPOPROSTENOL,https://pubchem.ncbi.nlm.nih.gov/compound/5282411,FEATURED,35121-78-9,"63748-50-5, 63859-31-4",COMPOUND,YES,YES,YES
EPTIFIBATIDE,EPTIFIBATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/448812,FEATURED,188627-80-7,"148031-34-9, 157630-07-4",COMPOUND,YES,YES,YES
ERGOMETRINE,ERGOMETRINE,https://pubchem.ncbi.nlm.nih.gov/compound/443884,FEATURED,60-79-7,"11002-48-5, 78207-83-7",COMPOUND,YES,YES,YES
ERIBULIN,ERIBULIN,https://pubchem.ncbi.nlm.nih.gov/compound/11354606,FEATURED,253128-41-5,441045-16-5,COMPOUND,YES,YES,YES
ESMOLOL,ESMOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/59768,FEATURED,"81147-92-4, 103598-03-4","103598-03-4, 84057-94-3",COMPOUND,YES,YES,YES
ETANERCEPT,ETANERCEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Etanercept,FEATURED,185243-69-0,200013-86-1,COMPOUND,MISSING,YES,YES
ETONOGESTREL,ETONOGESTREL,https://pubchem.ncbi.nlm.nih.gov/compound/6917715,FEATURED,54048-10-1,165050-21-5,COMPOUND,YES,YES,YES
ETRAVIRINE,ETRAVIRINE,https://pubchem.ncbi.nlm.nih.gov/compound/193962,FEATURED,269055-15-4,394729-17-0,COMPOUND,YES,YES,YES
EVEROLIMUS,EVEROLIMUS,https://pubchem.ncbi.nlm.nih.gov/compound/6442177,FEATURED,159351-69-6,1245613-55-1,COMPOUND,YES,YES,YES
EVODIA,EVODIA,https://pubchem.ncbi.nlm.nih.gov/compound/179651,RELEVANT,1180-71-8,1392-24-1,COMPOUND,NO,NO,NO
EVOLOCUMAB,EVOLOCUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Evolocumab,FEATURED,1256937-27-5,1420806-15-0,COMPOUND,MISSING,YES,YES
FELODIPINE,FELODIPINE,https://pubchem.ncbi.nlm.nih.gov/compound/3333,FEATURED,72509-76-3,86189-69-7,COMPOUND,YES,YES,YES
FENBENDAZOLE,FENBENDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3334,FEATURED,43210-67-9,53571-02-1,COMPOUND,YES,YES,YES
FENOLDOPAM,FENOLDOPAM,https://pubchem.ncbi.nlm.nih.gov/compound/3341,FEATURED,"67227-56-9, 67227-57-0",87900-90-1,COMPOUND,YES,YES,YES
FENPROPOREX,FENPROPOREX,https://pubchem.ncbi.nlm.nih.gov/compound/61810,FEATURED,"16397-28-7, 15686-61-0",15686-61-0,COMPOUND,YES,YES,YES
FENTANYL,FENTANYL,https://pubchem.ncbi.nlm.nih.gov/compound/3345,FEATURED,437-38-7,80832-90-2,COMPOUND,YES,YES,YES
FEXOFENADINE,FEXOFENADINE,https://pubchem.ncbi.nlm.nih.gov/compound/3348,FEATURED,83799-24-0,"159389-12-5, 76815-58-2",COMPOUND,YES,YES,YES
FIDAXOMICIN,FIDAXOMICIN,https://pubchem.ncbi.nlm.nih.gov/compound/10034073,FEATURED,873857-62-6,"55352-58-4, 56645-60-4, 750595-89-2",COMPOUND,YES,YES,YES
FLAVOCOXID,FLAVOCOXID,https://pubchem.ncbi.nlm.nih.gov/compound/75905632,FEATURED,1206488-21-2,1207678-34-9,COMPOUND,YES,YES,YES
FLECAINIDE,FLECAINIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3356,FEATURED,54143-55-4,99495-87-1,COMPOUND,YES,YES,YES
FLUCONAZOLE,FLUCONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3365,FEATURED,86386-73-4,123631-92-5,COMPOUND,YES,YES,YES
